phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,guard_margin_db,guard_relay_trip_id
PH-0060,Q3-T-008,下降,2,1518.1717738469724,1518.1717738469724,0.4221480061876795,0.4221480061876795,True,True,COM-00570,0.2,
PH-0060,Q3-T-008,下降,2,1518.1717738469724,1532.140002038789,0.4221480061876795,0.6143405481229054,False,True,COM-00571,0.2,
PH-0060,Q3-T-008,下降,2,1532.140002038789,1532.140002038789,0.6143405481229054,0.6143405481229054,True,True,COM-00572,0.2,
PH-0060,Q3-T-008,下降,2,1532.140002038789,1544.3074897118013,0.6143405481229054,0.7817562255251269,False,True,COM-00573,0.2,
PH-0060,Q3-T-008,下降,2,1544.3074897118013,1544.3074897118013,0.7817562255251269,0.7817562255251269,True,True,COM-00574,0.2,
PH-0060,Q3-T-008,下降,2,1544.3074897118013,1545.7650931834767,0.7817562255251269,0.8018117767738546,False,True,COM-00575,0.2,
PH-0060,Q3-T-008,下降,2,1545.7650931834767,1545.7650931834767,0.8018117767738546,0.8018117767738546,True,True,COM-00576,0.2,
PH-0060,Q3-T-008,下降,2,1545.7650931834767,1559.656307243593,0.8018117767738546,0.9929446609247771,False,True,COM-00577,0.2,
PH-0060,Q3-T-008,下降,2,1559.656307243593,1559.656307243593,0.9929446609247771,0.9929446609247771,True,True,COM-00578,0.2,
PH-0060,Q3-T-008,下降,2,1559.656307243593,1560.1690773291593,0.9929446609247771,1.0,False,True,COM-00579,0.2,
PH-0060,Q3-T-008,下降,2,1560.1690773291593,1560.1690773291593,1.0,1.0,True,True,COM-00580,0.2,
PH-0061,Q3-T-009,爬升,1,1610.899502077302,1610.899502077302,0.0,0.0,True,True,COM-00581,0.2,
PH-0061,Q3-T-009,爬升,1,1610.899502077302,1611.241348801013,0.0,0.00705533907522279,False,True,COM-00582,0.2,
PH-0061,Q3-T-009,爬升,1,1611.241348801013,1611.241348801013,0.00705533907522279,0.00705533907522279,True,True,COM-00583,0.2,
PH-0061,Q3-T-009,爬升,1,1611.241348801013,1620.5021581744238,0.00705533907522279,0.19818822322614532,False,True,COM-00584,0.2,
PH-0061,Q3-T-009,爬升,1,1620.5021581744238,1620.5021581744238,0.19818822322614532,0.19818822322614532,True,True,COM-00585,0.2,
PH-0061,Q3-T-009,爬升,1,1620.5021581744238,1621.4738938222074,0.19818822322614532,0.21824377447487314,False,True,COM-00586,0.2,
PH-0061,Q3-T-009,爬升,1,1621.4738938222074,1621.4738938222074,0.21824377447487314,0.21824377447487314,True,True,COM-00587,0.2,
PH-0061,Q3-T-009,爬升,1,1621.4738938222074,1629.5855522708823,0.21824377447487314,0.3856594518770947,False,True,COM-00588,0.2,
PH-0061,Q3-T-009,爬升,1,1629.5855522708823,1629.5855522708823,0.3856594518770947,0.3856594518770947,True,True,COM-00589,0.2,
PH-0061,Q3-T-009,爬升,1,1629.5855522708823,1638.89770439876,0.3856594518770947,0.5778519938123206,False,True,COM-00590,0.2,
