trip_id,phase,start_s,end_s,duration_s,mode
Q3-T-001,巡航,1565.284096545309,1624.1317188815933,58.847622336284275,中继
Q3-T-001,下降,1624.1317188815933,1696.7558448581558,72.62412597656248,中继
Q3-T-001,投送交接,1696.7558448581558,1876.7558448581558,180.0,中继
Q3-T-001,爬升,1876.7558448581558,1892.5831194349787,15.827274576822902,中继
Q3-T-001,巡航,1892.5831194349787,1913.748539908743,21.165420473764172,中继
Q3-T-001,巡航,1913.748539908743,1967.6820449241907,53.93350501544784,中继
Q3-T-001,巡航,1967.6820449241907,2038.6502448081862,70.96819988399554,直连
Q3-T-001,巡航,2038.6502448081862,2094.9344765772494,56.28423176906332,直连
Q3-T-001,巡航,2094.9344765772494,2296.6866508708545,201.7521742936049,直连
Q3-T-001,下降,2296.6866508708545,2371.6815375772926,74.99488670643802,直连
Q3-T-001,下降,2371.6815375772926,2382.8561201307457,11.174582553453183,直连
Q3-T-001,下降,2382.8561201307457,2392.5901102691555,9.733990138409862,直连
Q3-T-001,下降,2392.5901102691555,2393.756193046496,1.1660827773402733,直连
Q3-T-001,下降,2393.756193046496,2404.8691642945887,11.112971248093107,直连
Q3-T-001,下降,2404.8691642945887,2405.279380363042,0.41021606845312286,直连
Q3-T-002,爬升,360.0,360.34184672371094,0.3418467237109394,直连
Q3-T-002,爬升,360.34184672371094,369.60265609712184,9.260809373410913,直连
Q3-T-002,爬升,369.60265609712184,370.5743917449054,0.9717356477835709,直连
Q3-T-002,爬升,370.5743917449054,378.6860501935803,8.111658448674875,直连
Q3-T-002,爬升,378.6860501935803,387.99820232145794,9.31215212787766,直连
Q3-T-002,爬升,387.99820232145794,408.45220336914065,20.454001047682688,直连
Q3-T-002,巡航,408.45220336914065,542.4228357746762,133.97063240553553,直连
Q3-T-002,巡航,542.4228357746762,595.2985493120009,52.87571353732475,直连
Q3-T-002,巡航,595.2985493120009,607.6266838664694,12.32813455446849,直连
Q3-T-002,巡航,607.6266838664694,662.9504403290156,55.32375646254616,直连
Q3-T-002,下降,662.9504403290156,688.4143651774023,25.46392484838663,直连
Q3-T-002,下降,688.4143651774023,694.3842982433409,5.969933065938699,直连
Q3-T-002,下降,694.3842982433409,697.0820771027705,2.697778859429647,直连
Q3-T-002,下降,697.0820771027705,698.5730843719844,1.491007269213799,直连
Q3-T-002,投送交接,698.5730843719844,743.679230704014,45.10614633202965,直连
Q3-T-002,投送交接,743.679230704014,863.805648987166,120.12641828315202,直连
Q3-T-002,投送交接,863.805648987166,908.5730843719844,44.76743538481833,直连
Q3-T-002,爬升,908.5730843719844,909.8155904296625,1.242506057678169,直连
Q3-T-002,爬升,909.8155904296625,912.0637394791872,2.248149049524707,直连
Q3-T-002,爬升,912.0637394791872,917.0386837008028,4.974944221615582,直连
Q3-T-002,爬升,917.0386837008028,938.2586210744583,21.219937373655537,直连
Q3-T-002,巡航,938.2586210744583,993.5823775370045,55.32375646254619,直连
Q3-T-002,巡航,993.5823775370045,1005.910512091473,12.328134554468495,直连
Q3-T-002,巡航,1005.910512091473,1058.7862256287979,52.87571353732476,直连
Q3-T-002,巡航,1058.7862256287979,1192.7568580343334,133.97063240553558,直连
Q3-T-002,下降,1192.7568580343334,1217.3016592915526,24.544801257219273,直连
Q3-T-002,下降,1217.3016592915526,1226.977956606348,9.676297314795356,直连
Q3-T-002,下降,1226.977956606348,1228.476241845006,1.498285238657847,直连
Q3-T-002,下降,1228.476241845006,1238.2102319834157,9.73399013840986,直连
Q3-T-002,下降,1238.2102319834157,1239.376314760756,1.1660827773402886,直连
Q3-T-002,下降,1239.376314760756,1250.4892860088491,11.112971248093116,直连
Q3-T-002,下降,1250.4892860088491,1250.8995020773023,0.4102160684531297,直连
Q3-T-003,爬升,390.0,390.34184672371094,0.3418467237109394,直连
Q3-T-003,爬升,390.34184672371094,399.60265609712184,9.260809373410913,直连
Q3-T-003,爬升,399.60265609712184,400.5743917449054,0.9717356477835709,直连
Q3-T-003,爬升,400.5743917449054,408.6860501935803,8.111658448674875,直连
Q3-T-003,爬升,408.6860501935803,417.99820232145794,9.31215212787766,直连
Q3-T-003,爬升,417.99820232145794,438.45220336914065,20.454001047682688,直连
Q3-T-003,巡航,438.45220336914065,572.4228357746762,133.97063240553553,直连
Q3-T-003,巡航,572.4228357746762,625.2985493120009,52.87571353732475,直连
Q3-T-003,巡航,625.2985493120009,637.6266838664694,12.32813455446849,直连
Q3-T-003,巡航,637.6266838664694,692.9504403290156,55.32375646254616,直连
Q3-T-003,下降,692.9504403290156,718.4143651774023,25.46392484838663,直连
Q3-T-003,下降,718.4143651774023,724.3842982433409,5.969933065938699,直连
Q3-T-003,下降,724.3842982433409,727.0820771027705,2.697778859429647,直连
Q3-T-003,下降,727.0820771027705,728.5730843719844,1.491007269213799,直连
Q3-T-003,投送交接,728.5730843719844,743.679230704014,15.106146332029653,直连
Q3-T-003,投送交接,743.679230704014,863.805648987166,120.12641828315202,直连
Q3-T-003,投送交接,863.805648987166,938.5730843719844,74.76743538481831,直连
Q3-T-003,爬升,938.5730843719844,939.8155904296625,1.2425060576781675,直连
Q3-T-003,爬升,939.8155904296625,942.0637394791872,2.248149049524704,直连
Q3-T-003,爬升,942.0637394791872,947.0386837008028,4.974944221615577,直连
Q3-T-003,爬升,947.0386837008028,1005.8512677115322,58.8125840107294,直连
Q3-T-003,爬升,1005.8512677115322,1020.9329781708125,15.081710459280272,直连
Q3-T-003,巡航,1020.9329781708125,1165.2273008150244,144.29432264421197,直连
Q3-T-003,巡航,1165.2273008150244,1181.9904651906595,16.763164375635004,直连
Q3-T-003,巡航,1181.9904651906595,1226.977956606348,44.98749141568858,直连
Q3-T-003,巡航,1226.977956606348,1231.4196263813892,4.441669775041158,直连
Q3-T-003,巡航,1231.4196263813892,1248.6175730497632,17.19794666837403,中继
Q3-T-003,巡航,1248.6175730497632,1273.6867055268528,25.06913247708958,中继
Q3-T-003,巡航,1273.6867055268528,1330.0908265147914,56.4041209879386,中继
Q3-T-003,下降,1330.0908265147914,1335.093414087038,5.0025875722464725,中继
Q3-T-003,下降,1335.093414087038,1341.583487998918,6.490073911880036,中继
Q3-T-003,下降,1341.583487998918,1355.3258075802755,13.7423195813577,中继
Q3-T-003,下降,1355.3258075802755,1361.882699073385,6.556891493109487,中继
Q3-T-003,投送交接,1361.882699073385,1541.882699073385,180.0,中继
Q3-T-003,爬升,1541.882699073385,1547.346775317643,5.464076244257891,中继
Q3-T-003,爬升,1547.346775317643,1558.7987083021078,11.451932984464719,中继
Q3-T-003,爬升,1558.7987083021078,1564.2071032286744,5.408394926566682,中继
Q3-T-003,爬升,1564.2071032286744,1569.894877621562,5.687774392887669,中继
Q3-T-003,巡航,1569.894877621562,1623.294406742655,53.39952912109293,中继
Q3-T-003,巡航,1623.294406742655,1639.798127904675,16.503721162020128,中继
Q3-T-003,巡航,1639.798127904675,1716.8958263192412,77.09769841456615,直连
Q3-T-003,巡航,1716.8958263192412,1793.3240155281505,76.42818920890937,直连
Q3-T-003,巡航,1793.3240155281505,1820.2361023886092,26.912086860458682,直连
Q3-T-003,巡航,1820.2361023886092,1968.6027819252272,148.36667953661788,直连
Q3-T-003,下降,1968.6027819252272,2058.1795533972904,89.57677147206309,直连
Q3-T-003,下降,2058.1795533972904,2069.3541359507435,11.1745825534532,直连
Q3-T-003,下降,2069.3541359507435,2079.0881260891533,9.73399013840986,直连
Q3-T-003,下降,2079.0881260891533,2080.2542088664936,1.166082777340281,直连
Q3-T-003,下降,2080.2542088664936,2091.3671801145865,11.11297124809311,直连
Q3-T-003,下降,2091.3671801145865,2091.77739618304,0.4102160684531314,直连
Q3-T-004,爬升,360.0,360.34184672371094,0.3418467237109394,直连
Q3-T-004,爬升,360.34184672371094,369.60265609712184,9.260809373410913,直连
Q3-T-004,爬升,369.60265609712184,370.5743917449054,0.9717356477835709,直连
Q3-T-004,爬升,370.5743917449054,378.6860501935803,8.111658448674875,直连
Q3-T-004,爬升,378.6860501935803,387.99820232145794,9.31215212787766,直连
Q3-T-004,爬升,387.99820232145794,408.45220336914065,20.454001047682688,直连
Q3-T-004,巡航,408.45220336914065,542.4228357746762,133.97063240553553,直连
Q3-T-004,巡航,542.4228357746762,595.2985493120009,52.87571353732475,直连
Q3-T-004,巡航,595.2985493120009,607.6266838664694,12.32813455446849,直连
Q3-T-004,巡航,607.6266838664694,662.9504403290156,55.32375646254616,直连
Q3-T-004,下降,662.9504403290156,688.4143651774023,25.46392484838663,直连
Q3-T-004,下降,688.4143651774023,694.3842982433409,5.969933065938699,直连
Q3-T-004,下降,694.3842982433409,697.0820771027705,2.697778859429647,直连
Q3-T-004,下降,697.0820771027705,698.5730843719844,1.491007269213799,直连
Q3-T-004,投送交接,698.5730843719844,743.679230704014,45.10614633202965,直连
Q3-T-004,投送交接,743.679230704014,863.805648987166,120.12641828315202,直连
Q3-T-004,投送交接,863.805648987166,908.5730843719844,44.76743538481833,直连
Q3-T-004,爬升,908.5730843719844,909.8155904296625,1.242506057678169,直连
Q3-T-004,爬升,909.8155904296625,912.0637394791872,2.248149049524707,直连
Q3-T-004,爬升,912.0637394791872,917.0386837008028,4.974944221615582,直连
Q3-T-004,爬升,917.0386837008028,938.2586210744583,21.219937373655537,直连
Q3-T-004,巡航,938.2586210744583,993.5823775370045,55.32375646254619,直连
Q3-T-004,巡航,993.5823775370045,1005.910512091473,12.328134554468495,直连
Q3-T-004,巡航,1005.910512091473,1058.7862256287979,52.87571353732476,直连
Q3-T-004,巡航,1058.7862256287979,1192.7568580343334,133.97063240553558,直连
Q3-T-004,下降,1192.7568580343334,1217.3016592915526,24.544801257219273,直连
Q3-T-004,下降,1217.3016592915526,1226.977956606348,9.676297314795356,直连
Q3-T-004,下降,1226.977956606348,1228.476241845006,1.498285238657847,直连
Q3-T-004,下降,1228.476241845006,1238.2102319834157,9.73399013840986,直连
Q3-T-004,下降,1238.2102319834157,1239.376314760756,1.1660827773402886,直连
Q3-T-004,下降,1239.376314760756,1250.4892860088491,11.112971248093116,直连
Q3-T-004,下降,1250.4892860088491,1250.8995020773023,0.4102160684531297,直连
Q3-T-005,爬升,360.0,360.34184672371094,0.3418467237109392,直连
Q3-T-005,爬升,360.34184672371094,369.60265609712184,9.260809373410915,直连
Q3-T-005,爬升,369.60265609712184,370.5743917449054,0.9717356477835658,直连
Q3-T-005,爬升,370.5743917449054,378.6860501935803,8.111658448674874,直连
Q3-T-005,爬升,378.6860501935803,387.99820232145794,9.312152127877653,直连
Q3-T-005,爬升,387.99820232145794,488.0910583496094,100.09285602815145,直连
Q3-T-005,巡航,488.0910583496094,531.8574752973292,43.76641694771976,直连
Q3-T-005,巡航,531.8574752973292,603.8525008929922,71.99502559566305,直连
Q3-T-005,巡航,603.8525008929922,738.0826087507219,134.23010785772962,直连
Q3-T-005,巡航,738.0826087507219,742.895688322179,4.813079571457203,直连
Q3-T-005,巡航,742.895688322179,743.679230704014,0.7835423818349747,直连
Q3-T-005,巡航,743.679230704014,750.7088541594214,7.029623455407375,直连
Q3-T-005,巡航,750.7088541594214,790.3884294706104,39.679575311189005,中继
Q3-T-005,下降,790.3884294706104,795.1750902401337,4.786660769523313,中继
Q3-T-005,下降,795.1750902401337,844.7310847644897,49.55599452435591,中继
Q3-T-005,下降,844.7310847644897,855.0413130882181,10.310228323728516,中继
