phase_id,anchor,s,local_line_distance_m,geodesic_plus_height_m,difference_m,absolute_relative_difference,loss_difference_db
IV-PH-0008,Q3-R-001,0.5,6506.621518969567,6505.810303377105,0.8112155924618492,0.00012469093850473242,0.0010829842129622407
IV-PH-0008,Q3-R-002,0.5,2678.183964710907,2678.178727835773,0.005236875133959984,1.9553867258858728e-06,1.698425669526735e-05
IV-PH-0008,Q3-R-003,0.5,4933.789205472741,4933.044347430146,0.7448580425943874,0.00015099358329961473,0.001311414595492421
IV-PH-0008,Q3-R-004,0.5,7405.74228529885,7404.181532691275,1.5607526075755231,0.00021079340109158833,0.001830735271634426
IV-PH-0008,G01,1.0,4853.825677095014,4853.531459991603,0.2942171034110288,6.061918127786027e-05,0.0005265155602185658
IV-PH-0008,Q3-R-001,1.0,6506.621518969567,6505.810303377105,0.8112155924618492,0.00012469093850473242,0.0010829842129622407
IV-PH-0008,Q3-R-002,1.0,2678.183964710907,2678.178727835773,0.005236875133959984,1.9553867258858728e-06,1.698425669526735e-05
IV-PH-0008,Q3-R-003,1.0,4933.789205472741,4933.044347430146,0.7448580425943874,0.00015099358329961473,0.001311414595492421
IV-PH-0008,Q3-R-004,1.0,7405.74228529885,7404.181532691275,1.5607526075755231,0.00021079340109158833,0.001830735271634426
IV-PH-0009,G01,0.0,4853.825677095014,4853.531459991603,0.2942171034110288,6.061918127786027e-05,0.0005265155602185658
IV-PH-0009,Q3-R-001,0.0,6506.621518969567,6505.810303377105,0.8112155924618492,0.00012469093850473242,0.0010829842129622407
IV-PH-0009,Q3-R-002,0.0,2678.183964710907,2678.178727835773,0.005236875133959984,1.9553867258858728e-06,1.698425669526735e-05
IV-PH-0009,Q3-R-003,0.0,4933.789205472741,4933.044347430146,0.7448580425943874,0.00015099358329961473,0.001311414595492421
IV-PH-0009,Q3-R-004,0.0,7405.74228529885,7404.181532691275,1.5607526075755231,0.00021079340109158833,0.001830735271634426
IV-PH-0009,G01,0.5,4854.881422502931,4854.587269384023,0.2941531189080706,6.0592817182045304e-05,0.0005262865784697476
IV-PH-0009,Q3-R-001,0.5,6506.663338684416,6505.85212830646,0.8112103779558311,0.00012468933537949892,0.0010829702901298203
IV-PH-0009,Q3-R-002,0.5,2676.20013525453,2676.1948944973665,0.005240757163392118,1.9582868101900396e-06,1.7009446458969857e-05
IV-PH-0009,Q3-R-003,0.5,4933.751454142288,4933.006590399441,0.7448637428469738,0.0001509958945314646,0.0013114346675666163
IV-PH-0009,Q3-R-004,0.5,7404.903148298336,7403.342218786167,1.560929512169423,0.00021084119388788017,0.0018311503070926856
IV-PH-0009,G01,1.0,4856.0530074633325,4855.758925316929,0.29408214640352526,6.056358046735833e-05,0.0005260326469760227
IV-PH-0009,Q3-R-001,1.0,6506.791780642302,6505.980586279372,0.8111943629301095,0.00012468441185343497,0.0010829275302576772
IV-PH-0009,Q3-R-002,1.0,2674.4255908195464,2674.4203465850105,0.005244234535894066,1.960886418842301e-06,1.7032026327502867e-05
IV-PH-0009,Q3-R-003,1.0,4933.82794189819,4933.083089704502,0.74485219368853,0.00015099121181296534,0.0013113940001316022
IV-PH-0009,Q3-R-004,1.0,7404.140040334608,7402.578949911256,1.561090423351743,0.0002108846705877359,0.0018315278612967534
IV-PH-0010,G01,0.0,4856.0530074633325,4855.758925316929,0.29408214640352526,6.056358046735833e-05,0.0005260326469760227
IV-PH-0010,Q3-R-001,0.0,6506.791780642302,6505.980586279372,0.8111943629301095,0.00012468441185343497,0.0010829275302576772
IV-PH-0010,Q3-R-002,0.0,2674.4255908195464,2674.4203465850105,0.005244234535894066,1.960886418842301e-06,1.7032026327502867e-05
IV-PH-0010,Q3-R-003,0.0,4933.82794189819,4933.083089704502,0.74485219368853,0.00015099121181296534,0.0013113940001316022
