check,pass,detail
h1.1_u1.0/Q1-007/reserve,True,
h1.1_u1.0/Q1-008/energy,True,
h1.1_u1.0/Q1-008/reserve,True,
h1.1_u1.0/Q1-009/energy,True,
h1.1_u1.0/Q1-009/reserve,True,
h1.1_u1.0/Q1-010/energy,True,
h1.1_u1.0/Q1-010/reserve,True,
h1.1_u1.0/Q1-011/energy,True,
h1.1_u1.0/Q1-011/reserve,True,
h1.1_u1.0/Q1-012/energy,True,
h1.1_u1.0/Q1-012/reserve,True,
h1.1_u1.0/Q1-013/energy,True,
h1.1_u1.0/Q1-013/reserve,True,
h1.1_u1.0/Q1-014/energy,True,
h1.1_u1.0/Q1-014/reserve,True,
h1.1_u1.0/Q1-015/energy,True,
h1.1_u1.0/Q1-015/reserve,True,
h1.1_u1.0/Q1-016/energy,True,
h1.1_u1.0/Q1-016/reserve,True,
h1.1_u1.0/Q1-017/energy,True,
h1.1_u1.0/Q1-017/reserve,True,
h1.1_u1.0/Q1-018/energy,True,
h1.1_u1.0/Q1-018/reserve,True,
h1.1_u1.0/Q1-019/energy,True,
h1.1_u1.0/Q1-019/reserve,True,
h1.1_u1.0/Q1-020/energy,True,
h1.1_u1.0/Q1-020/reserve,True,
h1.1_u1.0/coverage,True,
h1.1_u1.0/sumenergy,True,
h1.0_u0.9/Q1-001/energy,True,
h1.0_u0.9/Q1-001/reserve,True,
h1.0_u0.9/Q1-002/energy,True,
h1.0_u0.9/Q1-002/reserve,True,
h1.0_u0.9/Q1-003/energy,True,
h1.0_u0.9/Q1-003/reserve,True,
h1.0_u0.9/Q1-004/energy,True,
h1.0_u0.9/Q1-004/reserve,True,
h1.0_u0.9/Q1-005/energy,True,
h1.0_u0.9/Q1-005/reserve,True,
h1.0_u0.9/Q1-006/energy,True,
h1.0_u0.9/Q1-006/reserve,True,
h1.0_u0.9/Q1-007/energy,True,
h1.0_u0.9/Q1-007/reserve,True,
h1.0_u0.9/Q1-008/energy,True,
h1.0_u0.9/Q1-008/reserve,True,
h1.0_u0.9/Q1-009/energy,True,
h1.0_u0.9/Q1-009/reserve,True,
h1.0_u0.9/Q1-010/energy,True,
h1.0_u0.9/Q1-010/reserve,True,
h1.0_u0.9/Q1-011/energy,True,
h1.0_u0.9/Q1-011/reserve,True,
h1.0_u0.9/Q1-012/energy,True,
h1.0_u0.9/Q1-012/reserve,True,
h1.0_u0.9/Q1-013/energy,True,
h1.0_u0.9/Q1-013/reserve,True,
h1.0_u0.9/Q1-014/energy,True,
h1.0_u0.9/Q1-014/reserve,True,
h1.0_u0.9/Q1-015/energy,True,
h1.0_u0.9/Q1-015/reserve,True,
h1.0_u0.9/Q1-016/energy,True,
h1.0_u0.9/Q1-016/reserve,True,
h1.0_u0.9/Q1-017/energy,True,
h1.0_u0.9/Q1-017/reserve,True,
h1.0_u0.9/Q1-018/energy,True,
h1.0_u0.9/Q1-018/reserve,True,
h1.0_u0.9/coverage,True,
h1.0_u0.9/sumenergy,True,
h1.0_u1.1/Q1-001/energy,True,
h1.0_u1.1/Q1-001/reserve,True,
h1.0_u1.1/Q1-002/energy,True,
h1.0_u1.1/Q1-002/reserve,True,
h1.0_u1.1/Q1-003/energy,True,
h1.0_u1.1/Q1-003/reserve,True,
h1.0_u1.1/Q1-004/energy,True,
h1.0_u1.1/Q1-004/reserve,True,
h1.0_u1.1/Q1-005/energy,True,
h1.0_u1.1/Q1-005/reserve,True,
h1.0_u1.1/Q1-006/energy,True,
h1.0_u1.1/Q1-006/reserve,True,
h1.0_u1.1/Q1-007/energy,True,
h1.0_u1.1/Q1-007/reserve,True,
h1.0_u1.1/Q1-008/energy,True,
h1.0_u1.1/Q1-008/reserve,True,
h1.0_u1.1/Q1-009/energy,True,
h1.0_u1.1/Q1-009/reserve,True,
h1.0_u1.1/Q1-010/energy,True,
h1.0_u1.1/Q1-010/reserve,True,
h1.0_u1.1/Q1-011/energy,True,
h1.0_u1.1/Q1-011/reserve,True,
h1.0_u1.1/Q1-012/energy,True,
h1.0_u1.1/Q1-012/reserve,True,
h1.0_u1.1/Q1-013/energy,True,
h1.0_u1.1/Q1-013/reserve,True,
h1.0_u1.1/Q1-014/energy,True,
h1.0_u1.1/Q1-014/reserve,True,
h1.0_u1.1/Q1-015/energy,True,
h1.0_u1.1/Q1-015/reserve,True,
h1.0_u1.1/Q1-016/energy,True,
h1.0_u1.1/Q1-016/reserve,True,
h1.0_u1.1/Q1-017/energy,True,
h1.0_u1.1/Q1-017/reserve,True,
h1.0_u1.1/Q1-018/energy,True,
h1.0_u1.1/Q1-018/reserve,True,
h1.0_u1.1/coverage,True,
h1.0_u1.1/sumenergy,True,
Q2-001/leg1/energy,True,
Q2-001/leg1/load_balance,True,
Q2-001/leg1/time,True,
Q2-001/leg2/energy,True,
Q2-001/leg2/load_balance,True,
Q2-001/leg2/time,True,
Q2-002/leg1/energy,True,
Q2-002/leg1/load_balance,True,
Q2-002/leg1/time,True,
Q2-002/leg2/energy,True,
Q2-002/leg2/load_balance,True,
Q2-002/leg2/time,True,
Q2-003/leg1/energy,True,
Q2-003/leg1/load_balance,True,
Q2-003/leg1/time,True,
Q2-003/leg2/energy,True,
Q2-003/leg2/load_balance,True,
Q2-003/leg2/time,True,
Q2-003/leg3/energy,True,
Q2-003/leg3/load_balance,True,
Q2-003/leg3/time,True,
Q2-004/leg1/energy,True,
Q2-004/leg1/load_balance,True,
Q2-004/leg1/time,True,
Q2-004/leg2/energy,True,
Q2-004/leg2/load_balance,True,
Q2-004/leg2/time,True,
Q2-004/leg3/energy,True,
Q2-004/leg3/load_balance,True,
Q2-004/leg3/time,True,
Q2-005/leg1/energy,True,
Q2-005/leg1/load_balance,True,
Q2-005/leg1/time,True,
Q2-005/leg2/energy,True,
Q2-005/leg2/load_balance,True,
Q2-005/leg2/time,True,
Q2-006/leg1/energy,True,
Q2-006/leg1/load_balance,True,
Q2-006/leg1/time,True,
Q2-006/leg2/energy,True,
Q2-006/leg2/load_balance,True,
Q2-006/leg2/time,True,
Q2-007/leg1/energy,True,
Q2-007/leg1/load_balance,True,
Q2-007/leg1/time,True,
Q2-007/leg2/energy,True,
Q2-007/leg2/load_balance,True,
Q2-007/leg2/time,True,
Q2-008/leg1/energy,True,
Q2-008/leg1/load_balance,True,
Q2-008/leg1/time,True,
Q2-008/leg2/energy,True,
Q2-008/leg2/load_balance,True,
Q2-008/leg2/time,True,
Q2-009/leg1/energy,True,
Q2-009/leg1/load_balance,True,
Q2-009/leg1/time,True,
Q2-009/leg2/energy,True,
Q2-009/leg2/load_balance,True,
Q2-009/leg2/time,True,
Q2-010/leg1/energy,True,
Q2-010/leg1/load_balance,True,
Q2-010/leg1/time,True,
Q2-010/leg2/energy,True,
Q2-010/leg2/load_balance,True,
Q2-010/leg2/time,True,
Q2-011/leg1/energy,True,
Q2-011/leg1/load_balance,True,
Q2-011/leg1/time,True,
Q2-011/leg2/energy,True,
Q2-011/leg2/load_balance,True,
Q2-011/leg2/time,True,
Q2-012/leg1/energy,True,
Q2-012/leg1/load_balance,True,
Q2-012/leg1/time,True,
Q2-012/leg2/energy,True,
Q2-012/leg2/load_balance,True,
Q2-012/leg2/time,True,
Q2-013/leg1/energy,True,
Q2-013/leg1/load_balance,True,
Q2-013/leg1/time,True,
Q2-013/leg2/energy,True,
Q2-013/leg2/load_balance,True,
Q2-013/leg2/time,True,
Q2-014/leg1/energy,True,
Q2-014/leg1/load_balance,True,
Q2-014/leg1/time,True,
Q2-014/leg2/energy,True,
Q2-014/leg2/load_balance,True,
Q2-014/leg2/time,True,
Q2-014/leg3/energy,True,
Q2-014/leg3/load_balance,True,
Q2-014/leg3/time,True,
Q2-015/leg1/energy,True,
Q2-015/leg1/load_balance,True,
Q2-015/leg1/time,True,
Q2-015/leg2/energy,True,
Q2-015/leg2/load_balance,True,
Q2-015/leg2/time,True,
Q2-016/leg1/energy,True,
Q2-016/leg1/load_balance,True,
Q2-016/leg1/time,True,
Q2-016/leg2/energy,True,
Q2-016/leg2/load_balance,True,
Q2-016/leg2/time,True,
Q2-017/leg1/energy,True,
Q2-017/leg1/load_balance,True,
Q2-017/leg1/time,True,
Q2-017/leg2/energy,True,
Q2-017/leg2/load_balance,True,
Q2-017/leg2/time,True,
Q2-017/leg3/energy,True,
Q2-017/leg3/load_balance,True,
Q2-017/leg3/time,True,
Q2-017/leg4/energy,True,
Q2-017/leg4/load_balance,True,
Q2-017/leg4/time,True,
Q2-018/leg1/energy,True,
Q2-018/leg1/load_balance,True,
Q2-018/leg1/time,True,
Q2-018/leg2/energy,True,
Q2-018/leg2/load_balance,True,
Q2-018/leg2/time,True,
Q2-019/leg1/energy,True,
Q2-019/leg1/load_balance,True,
Q2-019/leg1/time,True,
Q2-019/leg2/energy,True,
Q2-019/leg2/load_balance,True,
Q2-019/leg2/time,True,
Q2-019/leg3/energy,True,
Q2-019/leg3/load_balance,True,
Q2-019/leg3/time,True,
Q2-020/leg1/energy,True,
Q2-020/leg1/load_balance,True,
Q2-020/leg1/time,True,
Q2-020/leg2/energy,True,
Q2-020/leg2/load_balance,True,
Q2-020/leg2/time,True,
Q2-021/leg1/energy,True,
Q2-021/leg1/load_balance,True,
Q2-021/leg1/time,True,
Q2-021/leg2/energy,True,
Q2-021/leg2/load_balance,True,
Q2-021/leg2/time,True,
Q2-021/leg3/energy,True,
Q2-021/leg3/load_balance,True,
Q2-021/leg3/time,True,
Q2-022/leg1/energy,True,
Q2-022/leg1/load_balance,True,
Q2-022/leg1/time,True,
Q2-022/leg2/energy,True,
Q2-022/leg2/load_balance,True,
Q2-022/leg2/time,True,
Q2-023/leg1/energy,True,
Q2-023/leg1/load_balance,True,
Q2-023/leg1/time,True,
Q2-023/leg2/energy,True,
Q2-023/leg2/load_balance,True,
Q2-023/leg2/time,True,
Q2-024/leg1/energy,True,
Q2-024/leg1/load_balance,True,
Q2-024/leg1/time,True,
Q2-024/leg2/energy,True,
Q2-024/leg2/load_balance,True,
Q2-024/leg2/time,True,
Q2-024/leg3/energy,True,
Q2-024/leg3/load_balance,True,
Q2-024/leg3/time,True,
Q2-025/leg1/energy,True,
Q2-025/leg1/load_balance,True,
Q2-025/leg1/time,True,
Q2-025/leg2/energy,True,
Q2-025/leg2/load_balance,True,
Q2-025/leg2/time,True,
Q2-026/leg1/energy,True,
Q2-026/leg1/load_balance,True,
Q2-026/leg1/time,True,
Q2-026/leg2/energy,True,
Q2-026/leg2/load_balance,True,
Q2-026/leg2/time,True,
Q2-001/legs_sum,True,
Q2-002/legs_sum,True,
Q2-003/legs_sum,True,
Q2-004/legs_sum,True,
Q2-005/legs_sum,True,
Q2-006/legs_sum,True,
Q2-007/legs_sum,True,
Q2-008/legs_sum,True,
Q2-009/legs_sum,True,
Q2-010/legs_sum,True,
Q2-011/legs_sum,True,
Q2-012/legs_sum,True,
Q2-013/legs_sum,True,
Q2-014/legs_sum,True,
Q2-015/legs_sum,True,
Q2-016/legs_sum,True,
Q2-017/legs_sum,True,
Q2-018/legs_sum,True,
Q2-019/legs_sum,True,
Q2-020/legs_sum,True,
Q2-021/legs_sum,True,
Q2-022/legs_sum,True,
Q2-023/legs_sum,True,
Q2-024/legs_sum,True,
Q2-025/legs_sum,True,
Q2-026/legs_sum,True,
Q2-001/charge_duration,True,
Q2-001/charge_complete,True,
Q2-002/charge_duration,True,
Q2-002/charge_complete,True,
