check,pass,detail
inherited_Q12_raw_results/q2/experiments/direct_only/summary.json,True,
inherited_Q12_raw_results/q2/experiments/direct_only/trips.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/battery_cycles.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/battery_usage.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/box_assignment.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/box_deliveries.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/drone_usage.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/independent_checks.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/independent_validation.json,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/legs.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/phase_events.csv,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/solution_genome.json,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/summary.json,True,
inherited_Q12_raw_results/q2/experiments/energy_tradeoff/trips.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/battery_cycles.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/battery_usage.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/box_assignment.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/box_deliveries.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/drone_usage.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/independent_checks.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/independent_validation.json,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/legs.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/phase_events.csv,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/solution_genome.json,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/summary.json,True,
inherited_Q12_raw_results/q2/experiments/q1_frozen/trips.csv,True,
inherited_Q12_raw_results/q2/independent_box_recalculation.csv,True,
inherited_Q12_raw_results/q2/independent_trip_recalculation.csv,True,
inherited_Q12_raw_results/q2/independent_validation.json,True,
inherited_Q12_raw_results/q2/legs.csv,True,
inherited_Q12_raw_results/q2/lower_bound.json,True,
inherited_Q12_raw_results/q2/lower_bound_certificate.csv,True,
inherited_Q12_raw_results/q2/lower_bound_variables.csv,True,
inherited_Q12_raw_results/q2/multipoint_initials.csv,True,
inherited_Q12_raw_results/q2/multipoint_search_history.csv,True,
inherited_Q12_raw_results/q2/multipoint_search_rounds.csv,True,
inherited_Q12_raw_results/q2/phase_events.csv,True,
inherited_Q12_raw_results/q2/resource_interval_checks.csv,True,
inherited_Q12_raw_results/q2/scenario_comparison.csv,True,
inherited_Q12_raw_results/q2/solution_genome.json,True,
inherited_Q12_raw_results/q2/solver_config.json,True,
inherited_Q12_raw_results/q2/summary.json,True,
inherited_Q12_raw_results/q2/trips.csv,True,
inherited_Q12_raw_results/q2/validation_checks.csv,True,
Q3_scenario_joint_makespan_s,True,6636.184296262294 / 6636.184296262294
Q3_scenario_total_energy_kwh,True,75.06888770403694 / 75.06888770403694
Q3_scenario_relay_energy_kwh,True,3.3220893136311287 / 3.3220893136311287
alternative_energy_tradeoff,True,0 / 0
alternative_fixed_service_windows,True,0 / 0
alternative_polish_1,True,0 / 0
alternative_polish_2,True,0 / 0
alternative_uncoupled_baseline,True,0 / 0
q2_pressure_baseline_energy,True,71.94566215060303 / 71.94566215060301
q2_pressure_baseline_valid,True,
q3_pressure_baseline_energy,True,71.74679839040581 / 71.74679839040581
q3_pressure_baseline_valid,True,
actual_workbook_cells_False,True,
actual_workbook_cells_True,True,
actual_workbook_q4_workbook_partition_failed,True,0 / 0
actual_workbook_q4_workbook_inheritance_failed,True,0 / 0
actual_workbook_q4_workbook_physics_failed,True,0 / 0
actual_workbook_q3_workbook_physics_failed,True,0 / 0
actual_workbook_companion_cell_checks_failed,True,0 / 0
actual_workbook_cell_checks_failed,True,0 / 0
actual_workbook_q1_workbook_physics_failed,True,0 / 0
actual_workbook_q2_workbook_physics_failed,True,0 / 0
12_reports,True,
report_anchor_02_59.13129602205389,True,
report_anchor_03_6355.094258945617,True,
report_anchor_06_6636.184296262294,True,
report_anchor_06_75.06888770403694,True,
report_anchor_08_6636.184296262294,True,
report_anchor_10_6636.184296262294,True,
docx_pair_05_共同物理规则与假设边界,True,
formula_1,True,
formula_2,True,
formula_3,True,
formula_4,True,
formula_5,True,
docx_pair_06_第三问联合调度与严格继承建模,True,
report_image_06_第三问联合调度与严格继承建模../results/figures/q3/q3_01_routes.png,True,
report_image_06_第三问联合调度与严格继承建模../results/figures/q3/communication_timeline.png,True,
formula_6,True,
formula_7,True,
formula_8,True,
formula_9,True,
formula_10,True,
formula_11,True,
docx_pair_10_整体论文大纲与填充映射,True,
