K,group_id,source_communication_row,transport_trip_id,source_relay_trip_id,local_relay_trip_id,start_s,end_s,mode
3,K3-G1,125,Q3-T-002,,,912.0637394791872,917.0386837008028,直连
3,K3-G1,126,Q3-T-002,,,917.0386837008028,917.0386837008028,直连
3,K3-G1,127,Q3-T-002,,,917.0386837008028,938.2586210744583,直连
3,K3-G1,128,Q3-T-002,,,938.2586210744583,938.2586210744583,直连
3,K3-G1,129,Q3-T-002,,,938.2586210744583,993.5823775370045,直连
3,K3-G1,130,Q3-T-002,,,993.5823775370045,993.5823775370045,直连
3,K3-G1,131,Q3-T-002,,,993.5823775370045,1005.910512091473,直连
3,K3-G1,132,Q3-T-002,,,1005.910512091473,1005.910512091473,直连
3,K3-G1,133,Q3-T-002,,,1005.910512091473,1058.7862256287979,直连
3,K3-G1,134,Q3-T-002,,,1058.7862256287979,1058.7862256287979,直连
3,K3-G1,135,Q3-T-002,,,1058.7862256287979,1192.7568580343334,直连
3,K3-G1,136,Q3-T-002,,,1192.7568580343334,1192.7568580343334,直连
3,K3-G1,137,Q3-T-002,,,1192.7568580343334,1217.3016592915526,直连
3,K3-G1,138,Q3-T-002,,,1217.3016592915526,1217.3016592915526,直连
3,K3-G1,139,Q3-T-002,,,1217.3016592915526,1225.977956606348,直连
3,K3-G1,140,Q3-T-002,,,1225.977956606348,1225.977956606348,直连
3,K3-G1,141,Q3-T-002,,,1225.977956606348,1228.476241845006,直连
3,K3-G1,142,Q3-T-002,,,1228.476241845006,1228.476241845006,直连
3,K3-G1,143,Q3-T-002,,,1228.476241845006,1238.2102319834157,直连
3,K3-G1,144,Q3-T-002,,,1238.2102319834157,1238.2102319834157,直连
3,K3-G1,145,Q3-T-002,,,1238.2102319834157,1239.376314760756,直连
3,K3-G1,146,Q3-T-002,,,1239.376314760756,1239.376314760756,直连
3,K3-G1,147,Q3-T-002,,,1239.376314760756,1250.4892860088491,直连
3,K3-G1,148,Q3-T-002,,,1250.4892860088491,1250.4892860088491,直连
3,K3-G1,149,Q3-T-002,,,1250.4892860088491,1250.8995020773023,直连
3,K3-G1,150,Q3-T-002,,,1250.8995020773023,1250.8995020773023,直连
3,K3-G1,151,Q3-T-003,,,390.0,390.0,直连
3,K3-G1,152,Q3-T-003,,,390.0,390.34184672371094,直连
3,K3-G1,153,Q3-T-003,,,390.34184672371094,390.34184672371094,直连
3,K3-G1,154,Q3-T-003,,,390.34184672371094,399.60265609712184,直连
3,K3-G1,155,Q3-T-003,,,399.60265609712184,399.60265609712184,直连
3,K3-G1,156,Q3-T-003,,,399.60265609712184,400.5743917449054,直连
3,K3-G1,157,Q3-T-003,,,400.5743917449054,400.5743917449054,直连
3,K3-G1,158,Q3-T-003,,,400.5743917449054,408.6860501935803,直连
3,K3-G1,159,Q3-T-003,,,408.6860501935803,408.6860501935803,直连
3,K3-G1,160,Q3-T-003,,,408.6860501935803,417.99820232145794,直连
3,K3-G1,161,Q3-T-003,,,417.99820232145794,417.99820232145794,直连
3,K3-G1,162,Q3-T-003,,,417.99820232145794,438.45220336914065,直连
3,K3-G1,163,Q3-T-003,,,438.45220336914065,438.45220336914065,直连
3,K3-G1,164,Q3-T-003,,,438.45220336914065,572.4228357746762,直连
3,K3-G1,165,Q3-T-003,,,572.4228357746762,572.4228357746762,直连
3,K3-G1,166,Q3-T-003,,,572.4228357746762,625.2985493120008,直连
3,K3-G1,167,Q3-T-003,,,625.2985493120008,625.2985493120008,直连
3,K3-G1,168,Q3-T-003,,,625.2985493120008,637.6266838664694,直连
3,K3-G1,169,Q3-T-003,,,637.6266838664694,637.6266838664694,直连
3,K3-G1,170,Q3-T-003,,,637.6266838664694,692.9504403290156,直连
3,K3-G1,171,Q3-T-003,,,692.9504403290156,692.9504403290156,直连
3,K3-G1,172,Q3-T-003,,,692.9504403290156,718.4143651774021,直连
3,K3-G1,173,Q3-T-003,,,718.4143651774021,718.4143651774021,直连
3,K3-G1,174,Q3-T-003,,,718.4143651774021,724.3842982433409,直连
3,K3-G1,175,Q3-T-003,,,724.3842982433409,724.3842982433409,直连
3,K3-G1,176,Q3-T-003,,,724.3842982433409,727.0820771027705,直连
3,K3-G1,177,Q3-T-003,,,727.0820771027705,727.0820771027705,直连
3,K3-G1,178,Q3-T-003,,,727.0820771027705,728.5730843719844,直连
3,K3-G1,179,Q3-T-003,,,728.5730843719844,728.5730843719844,直连
3,K3-G1,180,Q3-T-003,,,728.5730843719844,744.679230704014,直连
3,K3-G1,181,Q3-T-003,,,744.679230704014,744.679230704014,直连
3,K3-G1,182,Q3-T-003,,,744.679230704014,864.805648987166,直连
3,K3-G1,183,Q3-T-003,,,864.805648987166,864.805648987166,直连
3,K3-G1,184,Q3-T-003,,,864.805648987166,938.5730843719844,直连
3,K3-G1,185,Q3-T-003,,,938.5730843719844,938.5730843719844,直连
3,K3-G1,186,Q3-T-003,,,938.5730843719844,939.8155904296625,直连
3,K3-G1,187,Q3-T-003,,,939.8155904296625,939.8155904296625,直连
3,K3-G1,188,Q3-T-003,,,939.8155904296625,942.0637394791872,直连
3,K3-G1,189,Q3-T-003,,,942.0637394791872,942.0637394791872,直连
3,K3-G1,190,Q3-T-003,,,942.0637394791872,947.0386837008028,直连
3,K3-G1,191,Q3-T-003,,,947.0386837008028,947.0386837008028,直连
3,K3-G1,192,Q3-T-003,,,947.0386837008028,1005.8512677115322,直连
3,K3-G1,193,Q3-T-003,,,1005.8512677115322,1005.8512677115322,直连
