feature_id,name,category,osm_id,location,lon_deg,lat_deg,name_raw,name_missing,source_csv_row
ST035,江局,村庄,3910747339,乡外,109.104,22.9432,江局,False,36
ST036,老村,村庄,3910747340,乡外,109.157,23.0117,老村,False,37
ST037,李陆,村庄,3910747341,乡外,109.088,22.9789,李陆,False,38
ST038,六昌,村庄,3910747342,乡内,109.191,23.0026,六昌,False,39
ST039,六花,村庄,3910747343,乡内,109.173,22.99,六花,False,40
ST040,陆村,村庄,3910747344,乡外,109.14,22.9698,陆村,False,41
ST041,木路,村庄,3910747346,乡内,109.196,22.9933,木路,False,42
ST042,那罗,村庄,3910747348,乡外,109.144,22.8879,那罗,False,43
ST043,那妙新村,村庄,3910747349,乡外,109.069,22.9524,那妙新村,False,44
ST044,泮塘,村庄,3910747352,乡外,109.098,22.8624,泮塘,False,45
ST045,平林,村庄,3910747353,乡外,109.073,22.8718,平林,False,46
ST046,平田,村庄,3910747354,乡外,109.131,23.0018,平田,False,47
ST047,三联,村庄,3910747356,乡外,109.1037663,22.9699968,三联,False,48
ST048,石塘镇,乡镇,3910748657,乡外,109.0671696,22.8866563,石塘镇,False,49
ST049,双河,村庄,3910748658,乡外,109.103,22.9588,双河,False,50
ST050,榃冠,村庄,3910748659,乡外,109.129,22.8634,榃冠,False,51
ST051,塘旺,村庄,3910748660,乡外,109.08,22.9078,塘旺,False,52
ST052,潭宽,村庄,3910748661,乡外,109.0794536,22.9137058,潭宽,False,53
ST053,榃冷,村庄,3910748662,乡外,109.18,22.9241,榃冷,False,54
ST054,榃桥,村庄,3910748663,乡外,109.1660386,22.901617,榃桥,False,55
ST055,旺感新,村庄,3910748664,乡外,109.101,22.8899,旺感新,False,56
ST056,旺龙,村庄,3910748665,乡外,109.043,22.9637,旺龙,False,57
ST057,旺宅,村庄,3910748666,乡外,109.1124289,22.9057304,旺宅,False,58
ST058,为合,村庄,3910748667,乡外,109.104,22.8677,为合,False,59
ST059,五福,村庄,3910748668,乡外,109.148,23.0027,五福,False,60
ST060,新宁,村庄,3910748669,乡外,109.051,22.9419,新宁,False,61
ST061,中团,村庄,3910748670,乡外,109.173,22.9395,中团,False,62
ST062,竹瓦,村庄,3910748671,乡内,109.177,23.0162,竹瓦,False,63
ST063,八凤,村庄,3910776655,乡外,109.09,23.0103,八凤,False,64
ST064,百含,村庄,3910776656,乡外,109.0786687,23.0588448,百含,False,65
ST065,长奎,村庄,3910776758,乡外,109.085,23.0444,长奎,False,66
ST066,均圩,村庄,3910776762,乡外,109.037,23.029,均圩,False,67
ST067,君庄,村庄,3910776763,乡外,109.071,23.0369,君庄,False,68
ST068,可包,村庄,3910776764,乡外,109.069,22.9917,可包,False,69
ST069,浪利,村庄,3910776766,乡外,109.037,23.0019,浪利,False,70
ST070,榄桥,村庄,3910776767,乡外,109.096,23.0063,榄桥,False,71
ST071,六庄,村庄,3910776768,乡外,109.117,23.0346,六庄,False,72
ST072,木塘,村庄,3910776769,乡外,109.09,23.0274,木塘,False,73
ST073,那笠,村庄,3910776771,乡外,109.102,23.0619,那笠,False,74
ST074,欧村,村庄,3910776772,乡外,109.046,23.0072,欧村,False,75
ST075,平塘,村庄,3910776773,乡外,109.0744707,23.053477,平塘,False,76
ST076,上塘,村庄,3910776774,乡外,109.057,23.0255,上塘,False,77
ST077,上学,村庄,3910776775,乡外,109.075,23.025,上学,False,78
ST078,田僚,村庄,3910776776,乡外,109.117,23.0553,田僚,False,79
ST079,王平,村庄,3910776777,乡外,109.085,23.013,王平,False,80
ST080,下富,村庄,3910776778,乡外,109.051,23.0281,下富,False,81
ST081,青桐,村庄,3910905260,乡外,109.1953163,22.8938404,青桐,False,82
