service_id,model_id,payload_kg,energy_fraction_percent
S015,A,11.666666666666668,53.3352008592552
S015,A,11.875,53.39011074234609
S015,A,12.083333333333334,53.445611505017865
S015,A,12.291666666666668,53.501705137002276
S015,A,12.5,53.55839376624496
S015,A,12.708333333333334,53.61567965669411
S015,A,12.916666666666668,53.67356520630371
S015,A,13.125,53.7320529452376
S015,A,13.333333333333334,53.79114553426254
S015,A,13.541666666666668,53.85084576331857
S015,A,13.75,53.91115655025711
S015,A,13.958333333333334,53.97208093973707
S015,A,14.166666666666668,54.03362210227098
S015,A,14.375,54.09578333341331
S015,A,14.583333333333334,54.158568053083876
S015,A,14.791666666666668,54.221979805020524
S015,A,15.0,54.28602225635475
S015,A,15.208333333333334,54.35069919730516
S015,A,15.416666666666668,54.416014540984435
S015,A,15.625,54.4819723233147
S015,A,15.833333333333334,54.54857670304803
S015,A,16.041666666666668,54.61583196188816
S015,A,16.25,54.68374250471031
S015,A,16.458333333333336,54.752312859875964
S015,A,16.666666666666668,54.821547679640425
S015,A,16.875,54.89145174065032
S015,A,17.083333333333336,54.96202994452921
S015,A,17.291666666666668,55.03328731854933
S015,A,17.5,55.10522901638786
S015,A,17.708333333333336,55.17786031896619
S015,A,17.916666666666668,55.251186635371
S015,A,18.125,55.32521350385603
S015,A,18.333333333333336,55.39994659292364
S015,A,18.541666666666668,55.47539170248537
S015,A,18.75,55.55155476510095
S015,A,18.958333333333336,55.62844184729548
S015,A,19.166666666666668,55.706059150953955
S015,A,19.375,55.78441301479366
S015,A,19.583333333333336,55.86350991591375
S015,A,19.791666666666668,55.943356471422604
S015,A,20.0,56.023959440142676
S015,A,20.208333333333336,56.105325724393715
S015,A,20.416666666666668,56.187462371854124
S015,A,20.625,56.270376577501544
S015,A,20.833333333333336,56.354075685633156
S015,A,21.041666666666668,56.43856719196607
S015,A,21.25,56.52385874581947
S015,A,21.458333333333336,56.60995815237848
S015,A,21.666666666666668,56.69687337504163
S015,A,21.875,56.78461253785269
S015,A,22.083333333333336,56.873183928018115
S015,A,22.291666666666668,56.96259599851166
S015,A,22.5,57.05285737076743
S015,A,22.708333333333336,57.143976837463086
S015,A,22.916666666666668,57.235963365394724
S015,A,23.125,57.328826098445404
S015,A,23.333333333333336,57.42257436064882
S015,A,23.541666666666668,57.51721765935066
S015,A,23.75,57.61276568846911
S015,A,23.958333333333336,57.7092283318573
S015,A,24.166666666666668,57.806615666769275
S015,A,24.375,57.90493796743288
S015,A,24.583333333333336,58.004205708731014
S015,A,24.791666666666668,58.10442956999474
S015,A,25.0,58.20562043891064
S015,B,0.0,46.25385891686353
S015,B,0.25,46.271363333290196
S015,B,0.5,46.29467810833914
S015,B,0.75,46.32179389776611
S015,B,1.0,46.352002566591246
S015,B,1.25,46.3849007551544
S015,B,1.5,46.420220912590494
S015,B,1.75,46.45777043788251
S015,B,2.0,46.49740338232039
S015,B,2.25,46.539005217044654
S015,B,2.5,46.58248379651439
S015,B,2.75,46.62776360988749
S015,B,3.0,46.67478192566008
S015,B,3.25,46.72348609668081
S015,B,3.5,46.773831612357306
S015,B,3.75,46.825780651702736
S015,B,4.0,46.87930098346809
S015,B,4.25,46.934365113671646
S015,B,4.5,46.99094961377108
S015,B,4.75,47.04903458352127
S015,B,5.0,47.10860321610836
S015,B,5.25,47.169641442217404
S015,B,5.5,47.23213763590515
S015,B,5.75,47.29608236949857
S015,B,6.0,47.361468207842236
S015,B,6.25,47.42828953446814
S015,B,6.5,47.49654240391903
S015,B,6.75,47.56622441569455
S015,B,7.0,47.637334606226176
S015,B,7.25,47.70987335600334
S015,B,7.5,47.78384230952794
S015,B,7.75,47.8592443062073
S015,B,8.0,47.936083320637266
S015,B,8.25,48.01436441099873
S015,B,8.5,48.09409367450842
S015,B,8.75,48.175278209040876
S015,B,9.0,48.25792608018129
S015,B,9.25,48.342046293086135
S015,B,9.5,48.4276487686251
S015,B,9.75,48.514744323357704
S015,B,10.0,48.60334465296482
S015,B,10.25,48.69346231881127
S015,B,10.5,48.78511073736289
S015,B,10.75,48.87830417222156
S015,B,11.0,48.97305772857547
S015,B,11.25,49.06938734989178
S015,B,11.5,49.167309816703266
S015,B,11.75,49.26684274736293
S015,B,12.0,49.36800460065928
S015,B,12.25,49.47081468020167
S015,B,12.5,49.57529314049969
S015,B,12.75,49.681460994673785
S015,B,13.0,49.78934012374556
S015,B,13.25,49.898953287466774
S015,B,13.5,50.01032413665559
S015,B,13.75,50.12347722701676
S015,B,14.0,50.23843803443071
S015,B,14.25,50.355232971703614
S015,B,14.5,50.473889406777026
S015,B,14.75,50.59443568240262
S015,B,15.0,50.71690113729278
S015,B,15.25,50.841316128764504
S015,B,15.5,50.9677120568988
S015,B,15.75,51.09612139024377
S015,B,16.0,51.22657769309457
S015,B,16.25,51.359115654388745
S015,B,16.5,51.49377111826099
S015,B,16.75,51.63058111630603
S015,B,17.0,51.76958390160428
S015,B,17.25,51.91081898457003
S015,B,17.5,52.05432717068739
S015,B,17.75,52.20015060020506
S015,B,18.0,52.348332789867015
S015,B,18.25,52.49891867676174
S015,B,18.5,52.65195466437975
S015,B,18.75,52.807488670975324
S015,B,19.0,52.96557018033518
S015,B,19.25,53.12625029506483
S015,B,19.5,53.28958179251032
S015,B,19.75,53.45561918344167
S015,B,20.0,53.62441877363282
S015,B,20.25,53.796038728482095
S015,B,20.5,53.970539140826844
S015,B,20.75,54.14798210211632
S015,B,21.0,54.32843177711795
S015,B,21.25,54.51195448234366
S015,B,21.5,54.698618768395725
S015,B,21.75,54.88849550644499
S015,B,22.0,55.08165797906839
S015,B,22.25,55.278181975688454
S015,B,22.5,55.47814589287382
S015,B,22.75,55.68163083977704
S015,B,23.0,55.88872074900589
S015,B,23.25,56.099502493243726
S015,B,23.5,56.31406600795711
S015,B,23.75,56.53250442055233
S015,B,24.0,56.75491418636776
S015,B,24.25,56.981395231916565
