phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,guard_margin_db,guard_relay_trip_id
PH-0162,Q3-T-020,爬升,1,4233.46399553816,4233.46399553816,1.0,1.0,True,True,COM-01550,0.2,
PH-0163,Q3-T-020,巡航,1,4233.46399553816,4292.401219811492,0.0,0.09737425806221428,False,True,COM-01551,0.2,
PH-0163,Q3-T-020,巡航,1,4292.401219811492,4292.401219811492,0.09737425806221428,0.09737425806221428,True,True,COM-01552,0.2,
PH-0163,Q3-T-020,巡航,1,4292.401219811492,4363.820933347366,0.09737425806221428,0.21537169859859143,False,True,COM-01553,0.2,
PH-0163,Q3-T-020,巡航,1,4363.820933347366,4363.820933347366,0.21537169859859143,0.21537169859859143,True,True,COM-01554,0.2,
PH-0163,Q3-T-020,巡航,1,4363.820933347366,4542.091118377183,0.21537169859859143,0.5099041815229131,False,True,COM-01555,0.2,
PH-0163,Q3-T-020,巡航,1,4542.091118377183,4542.091118377183,0.5099041815229131,0.5099041815229131,True,True,COM-01556,0.2,
PH-0163,Q3-T-020,巡航,1,4542.091118377183,4549.824267259982,0.5099041815229131,0.5226806507956239,False,True,COM-01557,0.2,
PH-0163,Q3-T-020,巡航,1,4549.824267259982,4549.824267259982,0.5226806507956239,0.5226806507956239,True,True,COM-01558,0.2,
PH-0163,Q3-T-020,巡航,1,4549.824267259982,4553.768656121455,0.5226806507956239,0.5291974480087674,False,True,COM-01559,0.2,
PH-0163,Q3-T-020,巡航,1,4553.768656121455,4553.768656121455,0.5291974480087674,0.5291974480087674,True,True,COM-01560,0.2,
PH-0163,Q3-T-020,巡航,1,4553.768656121455,4612.961073205634,0.5291974480087674,0.6269933277358196,False,False,COM-01561,0.2,Q3-R-003
PH-0163,Q3-T-020,巡航,1,4612.961073205634,4612.961073205634,0.6269933277358196,0.6269933277358196,True,False,COM-01562,0.2,Q3-R-003
PH-0163,Q3-T-020,巡航,1,4612.961073205634,4639.085039952027,0.6269933277358196,0.6701545371571281,False,False,COM-01563,0.2,Q3-R-003
PH-0163,Q3-T-020,巡航,1,4639.085039952027,4639.085039952027,0.6701545371571281,0.6701545371571281,True,False,COM-01564,0.2,Q3-R-004
PH-0163,Q3-T-020,巡航,1,4639.085039952027,4687.3886512902045,0.6701545371571287,0.7499602689976229,False,False,COM-01565,0.2,Q3-R-004
