phase_id,link_endpoint,occluding_cells,tested_terrain_cells,shadow_intervals,partition_intervals
PH-0061,Q3-R-002,0,166,0,1
PH-0061,Q3-R-003,14,68,1,1
PH-0061,Q3-R-004,18,156,1,1
PH-0062,G01,229,330,1,1
PH-0062,Q3-R-001,42,57,1,2
PH-0062,Q3-R-002,0,166,0,1
PH-0062,Q3-R-003,14,68,1,2
PH-0062,Q3-R-004,18,156,1,2
PH-0063,G01,49,330,1,3
PH-0063,Q3-R-001,0,99,0,2
PH-0063,Q3-R-002,0,288,0,1
PH-0063,Q3-R-003,0,82,0,1
PH-0063,Q3-R-004,0,353,0,2
PH-0064,G01,1,1,1,2
PH-0064,Q3-R-001,24,122,1,2
PH-0064,Q3-R-002,47,170,1,2
PH-0064,Q3-R-003,33,202,1,2
PH-0064,Q3-R-004,14,241,1,2
PH-0065,G01,1,1,1,2
PH-0065,Q3-R-001,24,122,1,2
PH-0065,Q3-R-002,47,170,1,2
PH-0065,Q3-R-003,33,202,1,2
PH-0065,Q3-R-004,14,241,1,2
PH-0066,G01,12,114,1,2
PH-0066,Q3-R-001,0,100,0,1
PH-0066,Q3-R-002,11,3310,1,3
PH-0066,Q3-R-003,0,239,0,1
PH-0066,Q3-R-004,0,1180,0,1
PH-0067,G01,82,114,1,1
PH-0067,Q3-R-001,1,103,1,2
PH-0067,Q3-R-002,0,173,0,1
PH-0067,Q3-R-003,20,103,1,2
PH-0067,Q3-R-004,9,173,1,2
PH-0068,G01,82,114,1,1
PH-0068,Q3-R-001,1,103,1,1
PH-0068,Q3-R-002,0,173,0,1
PH-0068,Q3-R-003,20,103,1,1
PH-0068,Q3-R-004,9,173,1,1
PH-0069,G01,82,114,1,1
PH-0069,Q3-R-001,1,103,1,2
PH-0069,Q3-R-002,0,173,0,1
PH-0069,Q3-R-003,20,103,1,2
PH-0069,Q3-R-004,9,173,1,2
PH-0070,G01,12,114,1,2
PH-0070,Q3-R-001,0,100,0,1
PH-0070,Q3-R-002,11,3310,1,3
PH-0070,Q3-R-003,0,239,0,1
PH-0070,Q3-R-004,0,1180,0,1
PH-0071,G01,1,1,1,2
PH-0071,Q3-R-001,24,122,1,2
PH-0071,Q3-R-002,47,170,1,2
PH-0071,Q3-R-003,33,202,1,2
PH-0071,Q3-R-004,14,241,1,2
PH-0072,G01,1,1,1,2
PH-0072,Q3-R-001,24,122,1,2
PH-0072,Q3-R-002,47,170,1,2
PH-0072,Q3-R-003,33,202,1,2
PH-0072,Q3-R-004,14,241,1,2
PH-0073,G01,12,114,1,2
PH-0073,Q3-R-001,0,100,0,1
PH-0073,Q3-R-002,11,3310,1,3
PH-0073,Q3-R-003,0,239,0,1
PH-0073,Q3-R-004,0,1180,0,1
PH-0074,G01,82,114,1,1
PH-0074,Q3-R-001,1,103,1,2
PH-0074,Q3-R-002,0,173,0,1
PH-0074,Q3-R-003,20,103,1,2
PH-0074,Q3-R-004,9,173,1,2
PH-0075,G01,82,114,1,1
PH-0075,Q3-R-001,1,103,1,1
PH-0075,Q3-R-002,0,173,0,1
PH-0075,Q3-R-003,20,103,1,1
PH-0075,Q3-R-004,9,173,1,1
PH-0076,G01,82,114,1,2
PH-0076,Q3-R-001,1,103,1,2
PH-0076,Q3-R-002,0,173,0,1
PH-0076,Q3-R-003,20,103,1,2
PH-0076,Q3-R-004,9,173,1,2
PH-0077,G01,476,6542,1,3
PH-0077,Q3-R-001,0,88,0,2
PH-0077,Q3-R-002,0,60,0,2
PH-0077,Q3-R-003,0,107,0,2
PH-0077,Q3-R-004,0,34,0,2
PH-0078,G01,171,191,1,1
PH-0078,Q3-R-001,16,16,1,2
PH-0078,Q3-R-002,0,35,0,1
PH-0078,Q3-R-003,36,37,1,2
PH-0078,Q3-R-004,9,65,1,2
PH-0079,G01,171,191,1,1
PH-0079,Q3-R-001,16,16,1,1
PH-0079,Q3-R-002,0,35,0,1
PH-0079,Q3-R-003,36,37,1,1
PH-0079,Q3-R-004,9,65,1,1
PH-0080,G01,171,191,1,1
PH-0080,Q3-R-001,16,16,1,2
PH-0080,Q3-R-002,0,35,0,1
PH-0080,Q3-R-003,36,37,1,2
PH-0080,Q3-R-004,9,65,1,2
PH-0081,G01,95,191,1,3
PH-0081,Q3-R-001,0,120,0,2
PH-0081,Q3-R-002,0,70,0,2
PH-0081,Q3-R-003,0,161,0,2
PH-0081,Q3-R-004,0,189,0,2
PH-0082,G01,1,1,1,2
PH-0082,Q3-R-001,24,122,1,2
PH-0082,Q3-R-002,47,170,1,2
PH-0082,Q3-R-003,33,202,1,2
PH-0082,Q3-R-004,14,241,1,2
PH-0083,G01,1,1,1,2
PH-0083,Q3-R-001,24,122,1,2
PH-0083,Q3-R-002,47,170,1,2
PH-0083,Q3-R-003,33,202,1,2
PH-0083,Q3-R-004,14,241,1,2
PH-0084,G01,12,114,1,2
PH-0084,Q3-R-001,0,100,0,1
PH-0084,Q3-R-002,11,3310,1,3
PH-0084,Q3-R-003,0,239,0,1
PH-0084,Q3-R-004,0,1180,0,1
PH-0085,G01,82,114,1,1
PH-0085,Q3-R-001,1,103,1,2
PH-0085,Q3-R-002,0,173,0,1
