运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T-002,巡航,993.5823775370045,1005.910512091473,直连,
Q3-T-002,巡航·边界点,1005.910512091473,1005.910512091473,直连,
Q3-T-002,巡航,1005.910512091473,1058.7862256287979,直连,
Q3-T-002,巡航·边界点,1058.7862256287979,1058.7862256287979,直连,
Q3-T-002,巡航,1058.7862256287979,1192.7568580343334,直连,
Q3-T-002,巡航·边界点,1192.7568580343334,1192.7568580343334,直连,
Q3-T-002,下降,1192.7568580343334,1217.3016592915526,直连,
Q3-T-002,下降·边界点,1217.3016592915526,1217.3016592915526,直连,
Q3-T-002,下降,1217.3016592915526,1225.977956606348,直连,
Q3-T-002,下降·边界点,1225.977956606348,1225.977956606348,直连,
Q3-T-002,下降,1225.977956606348,1228.476241845006,直连,
Q3-T-002,下降·边界点,1228.476241845006,1228.476241845006,直连,
Q3-T-002,下降,1228.476241845006,1238.2102319834157,直连,
Q3-T-002,下降·边界点,1238.2102319834157,1238.2102319834157,直连,
Q3-T-002,下降,1238.2102319834157,1239.376314760756,直连,
Q3-T-002,下降·边界点,1239.376314760756,1239.376314760756,直连,
Q3-T-002,下降,1239.376314760756,1250.4892860088491,直连,
Q3-T-002,下降·边界点,1250.4892860088491,1250.4892860088491,直连,
Q3-T-002,下降,1250.4892860088491,1250.8995020773023,直连,
Q3-T-002,下降·边界点,1250.8995020773023,1250.8995020773023,直连,
Q3-T-003,爬升·边界点,390.0,390.0,直连,
Q3-T-003,爬升,390.0,390.34184672371094,直连,
Q3-T-003,爬升·边界点,390.34184672371094,390.34184672371094,直连,
Q3-T-003,爬升,390.34184672371094,399.60265609712184,直连,
Q3-T-003,爬升·边界点,399.60265609712184,399.60265609712184,直连,
Q3-T-003,爬升,399.60265609712184,400.5743917449054,直连,
Q3-T-003,爬升·边界点,400.5743917449054,400.5743917449054,直连,
Q3-T-003,爬升,400.5743917449054,408.6860501935803,直连,
