check,pass,details
Q3-T-005/capacity_mass,True,
Q3-T-005/capacity_volume,True,
Q3-T-005/finite_times_energy,True,
Q3-T-005/nonnegative_start,True,
Q3-T-005/leg1_nonnegative_altitudes,True,
Q3-T-005/leg1_mass_range,True,
Q3-T-005/S007_nonempty_delivery,True,
S007-WAT-01/service_id,True,
S007-WAT-01/handoff_completed_time,True,2.2737367544323206e-13
S007-WAT-01/during_trip,True,
S007-WAT-01/hard_deadline,True,2564.2223005098585
S007-HYG-01/service_id,True,
S007-HYG-01/handoff_completed_time,True,2.2737367544323206e-13
S007-HYG-01/during_trip,True,
Q3-T-005/leg2_nonnegative_altitudes,True,
Q3-T-005/leg2_mass_range,True,
Q3-T-005/empty_return,True,
Q3-T-005/return_time_recalculation,True,0.0
Q3-T-005/energy_recalculation,True,0.0
Q3-T-005/source_reserve_floor,True,0.5858765453929347
Q3-T-005/all_boxes_unloaded,True,
Q3-T-005/charging_duration_nonnegative,True,
Q3-T-006/known_model,True,
Q3-T-006/compatible_drone,True,
Q3-T-006/compatible_battery,True,
Q3-T-006/valid_stops,True,
Q3-T-006/has_boxes,True,
Q3-T-006/known_boxes,True,
Q3-T-006/stop_box_matching,True,
Q3-T-006/capacity_mass,True,
Q3-T-006/capacity_volume,True,
Q3-T-006/finite_times_energy,True,
Q3-T-006/nonnegative_start,True,
Q3-T-006/leg1_nonnegative_altitudes,True,
Q3-T-006/leg1_mass_range,True,
Q3-T-006/S007_nonempty_delivery,True,
S007-MED-01/service_id,True,
S007-MED-01/handoff_completed_time,True,2.2737367544323206e-13
S007-MED-01/during_trip,True,
S007-MED-01/hard_deadline,True,2534.2223005098585
S007-WAT-02/service_id,True,
S007-WAT-02/handoff_completed_time,True,2.2737367544323206e-13
S007-WAT-02/during_trip,True,
S007-FOD-01/service_id,True,
S007-FOD-01/handoff_completed_time,True,2.2737367544323206e-13
S007-FOD-01/during_trip,True,
Q3-T-006/leg2_nonnegative_altitudes,True,
Q3-T-006/leg2_mass_range,True,
Q3-T-006/empty_return,True,
Q3-T-006/return_time_recalculation,True,0.0
Q3-T-006/energy_recalculation,True,2.220446049250313e-16
Q3-T-006/source_reserve_floor,True,0.5549942914744321
Q3-T-006/all_boxes_unloaded,True,
Q3-T-006/charging_duration_nonnegative,True,
Q3-T-007/known_model,True,
Q3-T-007/compatible_drone,True,
Q3-T-007/compatible_battery,True,
Q3-T-007/valid_stops,True,
Q3-T-007/has_boxes,True,
Q3-T-007/known_boxes,True,
Q3-T-007/stop_box_matching,True,
Q3-T-007/capacity_mass,True,
Q3-T-007/capacity_volume,True,
Q3-T-007/finite_times_energy,True,
Q3-T-007/nonnegative_start,True,
Q3-T-007/leg1_nonnegative_altitudes,True,
Q3-T-007/leg1_mass_range,True,
Q3-T-007/S006_nonempty_delivery,True,
S006-MED-01/service_id,True,
S006-MED-01/handoff_completed_time,True,0.0
S006-MED-01/during_trip,True,
S006-MED-01/hard_deadline,True,2570.5780660191617
S006-WAT-01/service_id,True,
S006-WAT-01/handoff_completed_time,True,0.0
S006-WAT-01/during_trip,True,
S006-WAT-01/hard_deadline,True,2534.5780660191617
S006-WAT-02/service_id,True,
S006-WAT-02/handoff_completed_time,True,0.0
S006-WAT-02/during_trip,True,
S006-WAT-03/service_id,True,
S006-WAT-03/handoff_completed_time,True,0.0
S006-WAT-03/during_trip,True,
S006-FOD-01/service_id,True,
S006-FOD-01/handoff_completed_time,True,0.0
S006-FOD-01/during_trip,True,
S006-HYG-01/service_id,True,
S006-HYG-01/handoff_completed_time,True,0.0
S006-HYG-01/during_trip,True,
Q3-T-007/leg2_nonnegative_altitudes,True,
Q3-T-007/leg2_mass_range,True,
Q3-T-007/empty_return,True,
Q3-T-007/return_time_recalculation,True,0.0
Q3-T-007/energy_recalculation,True,0.0
Q3-T-007/source_reserve_floor,True,0.6752515168859685
Q3-T-007/all_boxes_unloaded,True,
Q3-T-007/charging_duration_nonnegative,True,
Q3-T-008/known_model,True,
Q3-T-008/compatible_drone,True,
Q3-T-008/compatible_battery,True,
Q3-T-008/valid_stops,True,
Q3-T-008/has_boxes,True,
Q3-T-008/known_boxes,True,
Q3-T-008/stop_box_matching,True,
Q3-T-008/capacity_mass,True,
Q3-T-008/capacity_volume,True,
Q3-T-008/finite_times_energy,True,
Q3-T-008/nonnegative_start,True,
Q3-T-008/leg1_nonnegative_altitudes,True,
Q3-T-008/leg1_mass_range,True,
Q3-T-008/S001_nonempty_delivery,True,
S001-WAT-04/service_id,True,
S001-WAT-04/handoff_completed_time,True,0.0
S001-WAT-04/during_trip,True,
S001-HYG-02/service_id,True,
S001-HYG-02/handoff_completed_time,True,0.0
S001-HYG-02/during_trip,True,
Q3-T-008/leg2_nonnegative_altitudes,True,
Q3-T-008/leg2_mass_range,True,
Q3-T-008/S012_nonempty_delivery,True,
S012-WAT-01/service_id,True,
S012-WAT-01/handoff_completed_time,True,0.0
S012-WAT-01/during_trip,True,
S012-WAT-01/hard_deadline,True,1884.0119103202005
S012-MED-01/service_id,True,
S012-MED-01/handoff_completed_time,True,0.0
S012-MED-01/during_trip,True,
S012-MED-01/hard_deadline,True,1848.0119103202005
S012-FOD-01/service_id,True,
S012-FOD-01/handoff_completed_time,True,0.0
S012-FOD-01/during_trip,True,
Q3-T-008/leg3_nonnegative_altitudes,True,
Q3-T-008/leg3_mass_range,True,
Q3-T-008/empty_return,True,
Q3-T-008/return_time_recalculation,True,0.0
Q3-T-008/energy_recalculation,True,8.881784197001252e-16
