site_id,row,col,lon,lat,alt,agl,ground,route_H,gateway_distance,backhaul_margin,covered_search_points,travel_score_s
GRID-906-850,906,850,109.2688888888889,22.973055555555554,519.2008666992188,206.48941040039062,312.7114562988281,519.2008666992188,5534.01955408114,1.065984783529359,40,966.2447794520297
GRID-906-854,906,854,109.27000000000001,22.973055555555554,527.8692321777344,221.93365478515625,305.9355773925781,527.8692321777344,5614.884183562502,0.9396626325357715,39,982.0832765786786
GRID-906-858,906,858,109.27111111111111,22.973055555555554,535.5921020507812,248.71539306640625,286.876708984375,535.5921020507812,5696.8792029152155,0.813530748055328,39,997.5209532516511
GRID-906-862,906,862,109.27222222222223,22.973055555555554,543.8921813964844,203.762451171875,340.1297302246094,543.8921813964844,5779.956504880604,0.6875249538319537,36,1013.4396397986965
GRID-906-866,906,866,109.27333333333334,22.973055555555554,549.1582336425781,195.49032592773438,353.66790771484375,549.1582336425781,5864.070090970826,0.5620988570701542,34,1027.7266484209474
GRID-906-870,906,870,109.27444444444446,22.973055555555554,549.8033752441406,245.99539184570312,303.8079833984375,549.8033752441406,5949.1760062292715,0.4374724705623976,32,1039.4504363896515
GRID-906-874,906,874,109.27555555555556,22.973055555555554,552.2849426269531,266.7127990722656,285.5721435546875,552.2849426269531,6035.232270764071,0.31306487752797807,32,1052.3721859675989
GRID-910-558,910,558,109.18777777777778,22.971944444444443,413.7377014160156,203.22996520996094,210.5077362060547,413.7377014160156,5991.791609260937,0.38671286579081254,1,965.7608737274674
GRID-910-562,910,562,109.1888888888889,22.971944444444443,410.460205078125,159.04348754882812,251.41671752929688,410.460205078125,5908.324760339476,0.5085163293410773,1,952.7200876741697
GRID-910-566,910,566,109.19000000000001,22.971944444444443,416.72259521484375,184.35928344726562,232.36331176757812,416.72259521484375,5825.889868382994,0.6298725658562034,1,945.3818296597246
GRID-910-570,910,570,109.19111111111111,22.971944444444443,419.51751708984375,197.4694061279297,222.04811096191406,419.51751708984375,5744.531359784517,0.751547370886442,2,936.1643996070111
GRID-910-574,910,574,109.19222222222223,22.971944444444443,415.10552978515625,187.8638153076172,227.24171447753906,415.10552978515625,5664.295616292377,0.8737489304703843,2,922.8926412136581
GRID-910-578,910,578,109.19333333333334,22.971944444444443,405.7127990722656,184.61793518066406,221.09486389160156,405.7127990722656,5585.231026032469,0.9962372658387437,2,906.8716029298175
GRID-910-582,910,582,109.19444444444446,22.971944444444443,404.6814270019531,162.4178009033203,242.2636260986328,404.6814270019531,5507.388028807163,1.1179414063039985,2,895.8909029254277
GRID-910-586,910,586,109.19555555555556,22.971944444444443,394.7837829589844,153.73048400878906,241.0532989501953,394.7837829589844,5430.819154223421,1.2399950792353849,2,879.9080939558637
GRID-910-590,910,590,109.19666666666667,22.971944444444443,396.411376953125,148.72564697265625,247.68572998046875,396.411376953125,5355.579051071248,1.3607787481223994,2,870.8255100321559
GRID-910-594,910,594,109.19777777777779,22.971944444444443,419.70538330078125,169.80398559570312,249.90139770507812,419.70538330078125,5281.724506172408,1.4792262568121686,1,874.5664077484435
GRID-910-630,910,630,109.20777777777778,22.971944444444443,404.63275146484375,225.15614318847656,179.4766082763672,404.63275146484375,4689.790759346582,2.509971990357002,1,786.8495396007031
GRID-910-634,910,634,109.2088888888889,22.971944444444443,394.8634338378906,213.3637237548828,181.4997100830078,394.8634338378906,4633.36693557982,2.615760662555104,1,773.6275944827455
GRID-910-638,910,638,109.21000000000001,22.971944444444443,399.212646484375,243.63604736328125,155.57659912109375,399.212646484375,4579.0825995866835,2.717361574447253,1,768.9267237274432
GRID-910-642,910,642,109.21111111111112,22.971944444444443,402.39776611328125,251.3745880126953,151.02317810058594,402.39776611328125,4527.014717097419,2.816028693091056,1,763.8423258457365
GRID-910-646,910,646,109.21222222222222,22.971944444444443,389.9049377441406,244.16830444335938,145.73663330078125,389.9049377441406,4477.240617243761,2.9130713675495343,1,749.9182959832501
GRID-910-650,910,650,109.21333333333334,22.971944444444443,379.83953857421875,248.54031372070312,131.29922485351562,379.83953857421875,4429.837620216248,3.006284064723374,1,737.7264135304607
GRID-910-758,910,758,109.24333333333334,22.971944444444443,436.98240661621094,300.0,136.98240661621094,523.9492797851562,4246.765740517803,3.3645915334612937,1,797.3808452770483
