point_id,lon_deg,lat_deg,altitude_m
187,109.2283003,23.0561338,282.6072591145833
188,109.2283003,23.0561338,326.410888671875
189,109.22832885681348,23.05560076000158,326.410888671875
190,109.22835741362695,23.05506772000316,326.410888671875
191,109.22838597044043,23.05453468000474,326.410888671875
192,109.2284145272539,23.054001640006316,326.410888671875
193,109.22844308406738,23.053468600007896,326.410888671875
194,109.22847164088085,23.052935560009473,326.410888671875
195,109.22850019769433,23.052402520011054,326.410888671875
196,109.2285287545078,23.051869480012634,326.410888671875
197,109.22855731132128,23.05133644001421,326.410888671875
198,109.22858586813476,23.05080340001579,326.410888671875
199,109.22861442494823,23.050270360017368,326.410888671875
200,109.22864298176171,23.04973732001895,326.410888671875
201,109.22867153857517,23.04920428002053,326.410888671875
202,109.22870009538865,23.048671240022106,326.410888671875
203,109.22872865220212,23.048138200023686,326.410888671875
204,109.2287572090156,23.047605160025263,326.410888671875
205,109.22878576582907,23.047072120026844,326.410888671875
206,109.22881432264255,23.046539080028424,326.410888671875
207,109.22884287945602,23.04600604003,326.410888671875
208,109.2288714362695,23.04547300003158,326.410888671875
209,109.22889999308298,23.044939960033158,326.410888671875
210,109.22892854989645,23.04440692003474,326.410888671875
211,109.22895710670993,23.043873880036315,326.410888671875
212,109.2289856635234,23.043340840037896,326.410888671875
213,109.23615134883507,23.05870755771649,398.2391662597656
214,109.23620746136743,23.059239053335478,398.2391662597656
215,109.23626357389978,23.059770548954464,398.2391662597656
216,109.23631968643214,23.06030204457345,398.2391662597656
217,109.2363757989645,23.060833540192437,398.2391662597656
218,109.23643191149687,23.061365035811423,398.2391662597656
219,109.23648802402923,23.06189653143041,398.2391662597656
220,109.23654413656158,23.062428027049396,398.2391662597656
221,109.23660024909394,23.062959522668383,398.2391662597656
222,109.2366563616263,23.06349101828737,398.2391662597656
223,109.23671247415865,23.064022513906355,398.2391662597656
224,109.23676858669101,23.06455400952534,398.2391662597656
225,109.23682469922338,23.065085505144328,398.2391662597656
226,109.23688081175574,23.065617000763314,398.2391662597656
227,109.23693692428809,23.0661484963823,398.2391662597656
228,109.2369369242881,23.0661484963823,398.2391662597656
229,109.23699303682045,23.066679992001287,398.2391662597656
230,109.23704914935281,23.067211487620273,398.2391662597656
231,109.23710526188518,23.06774298323926,398.2391662597656
232,109.23716137441752,23.068274478858246,398.2391662597656
233,109.23721748694989,23.068805974477232,398.2391662597656
234,109.23727359948225,23.06933747009622,398.2391662597656
235,109.23732971201461,23.069868965715205,398.2391662597656
236,109.23738582454696,23.07040046133419,398.2391662597656
237,109.23738582454698,23.07040046133419,398.2391662597656
238,109.23744193707932,23.070931956953178,398.2391662597656
239,109.23749804961169,23.071463452572164,398.2391662597656
240,109.23755416214405,23.07199494819115,398.2391662597656
241,109.2376102746764,23.072526443810137,398.2391662597656
242,109.23766638720876,23.073057939429123,398.2391662597656
243,109.23772249974112,23.07358943504811,398.2391662597656
244,109.23777861227349,23.074120930667096,398.2391662597656
245,109.23783472480584,23.074652426286082,398.2391662597656
246,109.23783472480585,23.074652426286082,398.2391662597656
247,109.2378908373382,23.07518392190507,398.2391662597656
248,109.23794694987056,23.075715417524055,398.2391662597656
249,109.23800306240292,23.07624691314304,398.2391662597656
250,109.23805917493527,23.076778408762028,398.2391662597656
251,109.23811528746764,23.077309904381014,398.2391662597656
252,109.2381714,23.0778414,228.3
253,109.2381714,23.0778414,284.94638875325523
254,109.2381714,23.0778414,341.5927775065104
255,109.2381714,23.0778414,398.2391662597656
256,109.24528898382277,23.04072869828893,308.9542541503906
257,109.24551003242573,23.041222004984114,308.9542541503906
258,109.24573108102868,23.0417153116793,308.9542541503906
259,109.24595212963163,23.042208618374485,308.9542541503906
260,109.24617317823459,23.042701925069668,308.9542541503906
261,109.24639422683754,23.04319523176485,308.9542541503906
262,109.24661527544049,23.04368853846004,308.9542541503906
263,109.24662362380796,23.04019420040919,293.2289123535156
264,109.24683632404346,23.044181845155222,308.9542541503906
265,109.24686616497544,23.040681448783086,293.2289123535156
266,109.24705737264641,23.044675151850406,308.9542541503906
267,109.24710870614294,23.041168697156984,293.2289123535156
268,109.24727842124936,23.04516845854559,308.9542541503906
269,109.24735124731042,23.04165594553088,293.2289123535156
270,109.24749946985231,23.045661765240776,308.9542541503906
271,109.2475937884779,23.042143193904778,293.2289123535156
272,109.24772051845527,23.04615507193596,308.9542541503906
273,109.2478363296454,23.042630442278675,293.2289123535156
274,109.24794156705822,23.046648378631144,308.9542541503906
275,109.24807887081288,23.043117690652572,293.2289123535156
276,109.24816261566117,23.047141685326327,308.9542541503906
277,109.24832141198036,23.04360493902647,293.2289123535156
278,109.24838366426413,23.047634992021514,308.9542541503906
279,109.24856395314785,23.044092187400366,293.2289123535156
280,109.24860471286708,23.048128298716698,308.9542541503906
281,109.24880649431533,23.044579435774263,293.2289123535156
282,109.24882576147003,23.04862160541188,308.9542541503906
283,109.24904681007298,23.04911491210707,308.9542541503906
284,109.24904903548281,23.04506668414816,293.2289123535156
285,109.24926785867595,23.049608218802252,308.9542541503906
286,109.24929157665031,23.045553932522058,293.2289123535156
287,109.2494889072789,23.050101525497436,308.9542541503906
288,109.24953411781779,23.046041180895955,293.2289123535156
289,109.24970995588185,23.05059483219262,308.9542541503906
290,109.24977665898527,23.046528429269852,293.2289123535156
291,109.24993100448481,23.051088138887806,308.9542541503906
292,109.25001920015276,23.04701567764375,293.2289123535156
293,109.25015205308776,23.05158144558299,308.9542541503906
294,109.25026174132024,23.047502926017646,293.2289123535156
295,109.25037310169071,23.052074752278173,308.9542541503906
296,109.25050428248773,23.047990174391543,293.2289123535156
297,109.25059415029367,23.052568058973357,308.9542541503906
298,109.2507468236552,23.04847742276544,293.2289123535156
299,109.25081519889662,23.053061365668544,308.9542541503906
300,109.2509893648227,23.048964671139338,293.2289123535156
301,109.25103624749957,23.053554672363727,308.9542541503906
302,109.25123190599018,23.049451919513235,293.2289123535156
303,109.25125729610252,23.05404797905891,308.9542541503906
304,109.25147444715766,23.049939167887132,293.2289123535156
305,109.25147834470548,23.054541285754095,308.9542541503906
306,109.25169939330843,23.05503459244928,308.9542541503906
307,109.25171698832516,23.05042641626103,293.2289123535156
308,109.25192044191138,23.055527899144465,308.9542541503906
309,109.25195952949264,23.050913664634926,293.2289123535156
310,109.25214149051435,23.05602120583965,308.9542541503906
311,109.25220207066012,23.051400913008823,293.2289123535156
312,109.2523625391173,23.056514512534836,308.9542541503906
313,109.25244461182761,23.05188816138272,293.2289123535156
314,109.25258358772025,23.05700781923002,308.9542541503906
315,109.2526871529951,23.052375409756618,293.2289123535156
316,109.2528046363232,23.057501125925203,308.9542541503906
317,109.25292969416257,23.052862658130515,293.2289123535156
318,109.25302568492616,23.057994432620387,308.9542541503906
319,109.25317223533007,23.053349906504412,293.2289123535156
320,109.25324673352911,23.058487739315574,308.9542541503906
321,109.25341477649755,23.05383715487831,293.2289123535156
322,109.25346778213206,23.058981046010757,308.9542541503906
323,109.25365731766503,23.054324403252206,293.2289123535156
324,109.25368883073502,23.05947435270594,308.9542541503906
325,109.25389985883253,23.054811651626103,293.2289123535156
326,109.25390987933797,23.059967659401124,308.9542541503906
327,109.25413092794092,23.06046096609631,308.9542541503906
328,109.2541424,23.0552989,230.0
329,109.2541424,23.0552989,261.6144561767578
330,109.2541424,23.0552989,293.2289123535156
331,109.25435197654387,23.060954272791495,308.9542541503906
332,109.25457302514684,23.06144757948668,308.9542541503906
333,109.25479407374979,23.061940886181862,308.9542541503906
334,109.25501512235275,23.06243419287705,308.9542541503906
335,109.2552361709557,23.062927499572233,308.9542541503906
336,109.25545721955865,23.063420806267416,308.9542541503906
337,109.2556782681616,23.063914112962603,308.9542541503906
338,109.25589931676456,23.064407419657787,308.9542541503906
339,109.25612036536751,23.06490072635297,308.9542541503906
340,109.25634141397046,23.065394033048154,308.9542541503906
341,109.25656246257341,23.06588733974334,308.9542541503906
342,109.25678351117637,23.066380646438525,308.9542541503906
343,109.25700455977932,23.066873953133708,308.9542541503906
344,109.25722560838227,23.06736725982889,308.9542541503906
345,109.25744665698524,23.06786056652408,308.9542541503906
346,109.25766770558819,23.068353873219262,308.9542541503906
347,109.25788875419114,23.068847179914446,308.9542541503906
348,109.2581098027941,23.06934048660963,308.9542541503906
349,109.25813638267385,23.03249109953208,413.3009948730469
350,109.25833085139705,23.069833793304817,308.9542541503906
351,109.2585519,23.0703271,219.5
352,109.2585519,23.0703271,264.2271270751953
