from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
S007,S001,5187.883229802976,389.17535400390625,439.17535400390625,348.5,184.0,90.67535400390625,255.17535400390625,198
S001,S008,5968.208405123096,316.78717041015625,366.78717041015625,184.0,270.9,182.78717041015625,95.88717041015627,276
S008,S001,5968.208405123096,316.78717041015625,366.78717041015625,270.9,184.0,95.88717041015627,182.78717041015625,276
S001,S009,2651.198773865906,243.22891235351562,293.2289123535156,184.0,230.0,109.22891235351562,63.228912353515625,118
S009,S001,2651.198773865906,243.22891235351562,293.2289123535156,230.0,184.0,63.228912353515625,109.22891235351562,118
S001,S010,3709.894180127748,381.0796813964844,431.0796813964844,184.0,351.6,247.07968139648438,79.47968139648435,170
S010,S001,3709.894180127748,381.0796813964844,431.0796813964844,351.6,184.0,79.47968139648435,247.07968139648438,170
S001,S011,2354.0924594171406,226.38790893554688,276.3879089355469,184.0,212.1,92.38790893554688,64.28790893554688,90
S011,S001,2354.0924594171406,226.38790893554688,276.3879089355469,212.1,184.0,64.28790893554688,92.38790893554688,90
S001,S012,4697.6835386657995,385.599609375,435.599609375,184.0,279.8,251.599609375,155.799609375,219
S012,S001,4697.6835386657995,385.599609375,435.599609375,279.8,184.0,155.799609375,251.599609375,219
S001,S013,2898.825752847234,328.3608093261719,378.3608093261719,184.0,351.7,194.36080932617188,26.660809326171886,111
S013,S001,2898.825752847234,328.3608093261719,378.3608093261719,351.7,184.0,26.660809326171886,194.36080932617188,111
S001,S014,5196.211104521408,550.0504150390625,600.0504150390625,184.0,351.0,416.0504150390625,249.0504150390625,248
S014,S001,5196.211104521408,550.0504150390625,600.0504150390625,351.0,184.0,249.0504150390625,416.0504150390625,248
S001,S015,5500.07917347659,547.315185546875,597.315185546875,184.0,474.5,413.315185546875,122.815185546875,241
S015,S001,5500.07917347659,547.315185546875,597.315185546875,474.5,184.0,122.815185546875,413.315185546875,241
S002,S003,9776.0070147188,571.1314086914062,621.1314086914062,219.5,338.5,401.63140869140625,282.63140869140625,432
S003,S002,9776.0070147188,571.1314086914062,621.1314086914062,338.5,219.5,282.63140869140625,401.63140869140625,432
S002,S004,2248.017698186279,283.658203125,333.658203125,219.5,228.3,114.158203125,105.35820312499999,102
S004,S002,2248.017698186279,283.658203125,333.658203125,228.3,219.5,105.35820312499999,114.158203125,102
S002,S005,3475.746984096171,356.79864501953125,406.79864501953125,219.5,195.0,187.29864501953125,211.79864501953125,161
S005,S002,3475.746984096171,356.79864501953125,406.79864501953125,195.0,219.5,211.79864501953125,187.29864501953125,161
S002,S006,9184.869515085076,344.2987060546875,394.2987060546875,219.5,314.8,174.7987060546875,79.49870605468749,438
S006,S002,9184.869515085076,344.2987060546875,394.2987060546875,314.8,219.5,79.49870605468749,174.7987060546875,438
S002,S007,8118.281841370918,424.7281799316406,474.7281799316406,219.5,348.5,255.22817993164062,126.22817993164062,385
S007,S002,8118.281841370918,424.7281799316406,474.7281799316406,348.5,219.5,126.22817993164062,255.22817993164062,385
S002,S008,4802.361653053604,331.8424987792969,381.8424987792969,219.5,270.9,162.34249877929688,110.9424987792969,199
S008,S002,4802.361653053604,331.8424987792969,381.8424987792969,270.9,219.5,110.9424987792969,162.34249877929688,199
S002,S009,1724.5471958647918,278.2866516113281,328.2866516113281,219.5,230.0,108.78665161132812,98.28665161132812,71
S009,S002,1724.5471958647918,278.2866516113281,328.2866516113281,230.0,219.5,98.28665161132812,108.78665161132812,71
S002,S010,5917.036166062372,441.85394287109375,491.85394287109375,219.5,351.6,272.35394287109375,140.25394287109373,247
S010,S002,5917.036166062372,441.85394287109375,491.85394287109375,351.6,219.5,140.25394287109373,272.35394287109375,247
S002,S011,5781.673943782255,311.78533935546875,361.78533935546875,219.5,212.1,142.28533935546875,149.68533935546876,277
S011,S002,5781.673943782255,311.78533935546875,361.78533935546875,212.1,219.5,149.68533935546876,142.28533935546875,277
S002,S012,3071.2755268947694,358.1782531738281,408.1782531738281,219.5,279.8,188.67825317382812,128.3782531738281,146
S012,S002,3071.2755268947694,358.1782531738281,408.1782531738281,279.8,219.5,128.3782531738281,188.67825317382812,146
S002,S013,4540.13286339447,327.2103271484375,377.2103271484375,219.5,351.7,157.7103271484375,25.51032714843751,188
S013,S002,4540.13286339447,327.2103271484375,377.2103271484375,351.7,219.5,25.51032714843751,157.7103271484375,188
S002,S014,7654.630751146546,457.5832214355469,507.5832214355469,219.5,351.0,288.0832214355469,156.58322143554688,325
S014,S002,7654.630751146546,457.5832214355469,507.5832214355469,351.0,219.5,156.58322143554688,288.0832214355469,325
S002,S015,7164.390108585165,593.7526245117188,643.7526245117188,219.5,474.5,424.25262451171875,169.25262451171875,314
S015,S002,7164.390108585165,593.7526245117188,643.7526245117188,474.5,219.5,169.25262451171875,424.25262451171875,314
S003,S004,8231.978295251793,674.2682495117188,724.2682495117188,338.5,228.3,385.76824951171875,495.96824951171874,385
