variable,value
"('box_fraction', 'C', 'S006-HYG-01')",1.0
"('box_fraction', 'C', 'S006-MED-01')",0.0
"('box_fraction', 'C', 'S006-WAT-01')",1.0
"('box_fraction', 'C', 'S006-WAT-02')",0.31428571428571495
"('box_fraction', 'C', 'S006-WAT-03')",1.0
"('box_fraction', 'C', 'S007-FOD-01')",0.8902321083172142
"('box_fraction', 'C', 'S007-HYG-01')",1.0
"('box_fraction', 'C', 'S007-MED-01')",0.0
"('box_fraction', 'C', 'S007-WAT-01')",0.1295938104448743
"('box_fraction', 'C', 'S007-WAT-02')",1.0
"('box_fraction', 'C', 'S008-FOD-01')",0.8902321083172127
"('box_fraction', 'C', 'S008-HYG-01')",1.0
"('box_fraction', 'C', 'S008-MED-01')",0.0
"('box_fraction', 'C', 'S008-WAT-01')",0.16054158607350832
"('box_fraction', 'C', 'S008-WAT-02')",0.9690522243713641
"('box_fraction', 'C', 'S009-FOD-01')",0.18618387262455094
"('box_fraction', 'C', 'S009-MED-01')",0.0
"('box_fraction', 'C', 'S009-WAT-01')",0.0
"('box_fraction', 'C', 'S010-FOD-01')",0.32894736842105277
"('box_fraction', 'C', 'S010-MED-01')",0.0
"('box_fraction', 'C', 'S010-WAT-01')",0.0
"('box_fraction', 'C', 'S011-FOD-01')",0.18618387262455094
"('box_fraction', 'C', 'S011-MED-01')",0.0
"('box_fraction', 'C', 'S011-WAT-01')",0.0
"('box_fraction', 'C', 'S012-FOD-01')",0.18618387262455074
"('box_fraction', 'C', 'S012-MED-01')",0.0
"('box_fraction', 'C', 'S012-WAT-01')",0.0
"('box_fraction', 'C', 'S013-FOD-01')",0.3231533971895234
"('box_fraction', 'C', 'S013-MED-01')",0.0
"('box_fraction', 'C', 'S013-WAT-01')",0.0
"('box_fraction', 'C', 'S014-FOD-01')",0.32894736842105277
"('box_fraction', 'C', 'S014-MED-01')",0.0
"('box_fraction', 'C', 'S014-WAT-01')",0.0
"('box_fraction', 'C', 'S015-FOD-01')",0.18618387262455094
"('box_fraction', 'C', 'S015-MED-01')",0.0
"('box_fraction', 'C', 'S015-WAT-01')",0.0
"('fractional_trips', 'A')",10.5612158646716
"('fractional_trips', 'B')",5.602414264544817
"('fractional_trips', 'C')",4.07371469308582
"('fractional_visits', 'A', 'S001')",1.0545454545454556
"('fractional_visits', 'A', 'S002')",1.558112227127001
"('fractional_visits', 'A', 'S003')",-0.0
"('fractional_visits', 'A', 'S004')",0.5272727272727273
"('fractional_visits', 'A', 'S005')",0.5272727272727273
"('fractional_visits', 'A', 'S006')",-0.0
"('fractional_visits', 'A', 'S007')",0.6170212765957447
"('fractional_visits', 'A', 'S008')",0.6170212765957388
"('fractional_visits', 'A', 'S009')",0.7454545454545457
"('fractional_visits', 'A', 'S010')",0.9631578947368421
"('fractional_visits', 'A', 'S011')",0.7454545454545455
"('fractional_visits', 'A', 'S012')",0.7454545454545454
"('fractional_visits', 'A', 'S013')",0.9543225342988543
"('fractional_visits', 'A', 'S014')",0.9631578947368421
"('fractional_visits', 'A', 'S015')",0.7454545454545455
"('fractional_visits', 'B', 'S001')",2.9490728177295336
"('fractional_visits', 'B', 'S002')",0.08361619583672457
"('fractional_visits', 'B', 'S003')",0.875286572606943
"('fractional_visits', 'B', 'S004')",0.5754029328087114
"('fractional_visits', 'B', 'S005')",-0.0
"('fractional_visits', 'B', 'S006')",0.4199999999999997
"('fractional_visits', 'B', 'S007')",0.021276595744680882
"('fractional_visits', 'B', 'S008')",0.021276595744687224
"('fractional_visits', 'B', 'S009')",0.23369286081150453
"('fractional_visits', 'B', 'S010')",-0.0
"('fractional_visits', 'B', 'S011')",0.2336928608115048
"('fractional_visits', 'B', 'S012')",0.23369286081150498
"('fractional_visits', 'B', 'S013')",0.009484285215919002
"('fractional_visits', 'B', 'S014')",-0.0
"('fractional_visits', 'B', 'S015')",0.2336928608115048
"('fractional_visits', 'C', 'S001')",0.48955223880597015
"('fractional_visits', 'C', 'S002')",0.49423385558404054
"('fractional_visits', 'C', 'S003')",0.6842675352723964
"('fractional_visits', 'C', 'S004')",0.35695117292400597
"('fractional_visits', 'C', 'S005')",0.5727272727272726
"('fractional_visits', 'C', 'S006')",0.5800000000000001
"('fractional_visits', 'C', 'S007')",0.3617021276595744
"('fractional_visits', 'C', 'S008')",0.361702127659574
"('fractional_visits', 'C', 'S009')",0.020852593733949706
"('fractional_visits', 'C', 'S010')",0.03684210526315791
"('fractional_visits', 'C', 'S011')",0.020852593733949706
"('fractional_visits', 'C', 'S012')",0.020852593733949685
"('fractional_visits', 'C', 'S013')",0.036193180485226614
"('fractional_visits', 'C', 'S014')",0.03684210526315791
"('fractional_visits', 'C', 'S015')",0.020852593733949706
"('makespan_s',)",3222.35390261346
