from_id,to_id,row,col,fraction,dem_m
S011,S014,783,886,0.9233872370024625,474.9449157714844
S011,S014,783,887,0.9277782168759677,461.4043273925781
S011,S014,784,887,0.9298616674279014,454.82562255859375
S011,S014,784,888,0.932169196749473,446.1180725097656
S011,S014,784,889,0.9365601766229781,441.56829833984375
S011,S014,785,889,0.9402601108225191,443.7812805175781
S011,S014,785,890,0.9409511564964833,438.2506408691406
S011,S014,785,891,0.9453421363699885,432.4659118652344
S011,S014,785,892,0.9497331162434938,424.8962707519531
S011,S014,786,892,0.9506585542171369,421.3304748535156
S011,S014,786,893,0.9541240961169989,412.4873352050781
S011,S014,786,894,0.9585150759905041,403.1781921386719
S011,S014,787,894,0.9610569976117546,403.77618408203125
S011,S014,787,895,0.9629060558640093,399.48175048828125
S011,S014,787,896,0.9672970357375145,397.4146423339844
S011,S014,788,896,0.9714554410063723,397.2638244628906
S011,S014,788,897,0.9716880156110197,387.52752685546875
S011,S014,788,898,0.9760789954845249,379.7710876464844
S011,S014,788,899,0.9804699753580302,372.07177734375
S011,S014,789,899,0.98185388440099,368.6551818847656
S011,S014,789,900,0.9848609552315353,357.7240905761719
S011,S014,789,901,0.9892519351050405,345.99957275390625
S011,S014,790,901,0.9922523277956077,341.270263671875
S011,S014,790,902,0.9936429149785457,331.1523742675781
S011,S014,790,903,0.9980338948520509,320.9825134277344
S011,S015,694,675,0.0,178.04286193847656
S011,S015,694,674,0.0070362024217780605,166.9037322998047
S011,S015,693,674,0.0091396346807066,180.09982299804688
S011,S015,693,673,0.016972096036180922,177.9649200439453
S011,S015,692,673,0.024983949708786306,180.6925506591797
S011,S015,692,672,0.026907989650583785,193.78750610351562
S011,S015,692,671,0.036843883264986645,207.68470764160156
S011,S015,691,671,0.04082826473686601,210.97288513183594
S011,S015,691,670,0.04677977687938951,218.33665466308594
S011,S015,690,670,0.05667257976494572,200.97605895996094
S011,S015,690,669,0.05671567049379237,203.8511962890625
S011,S015,690,668,0.06665156410819523,196.2376708984375
S011,S015,689,668,0.07251689479302542,186.07742309570312
S011,S015,689,667,0.07658745772259809,185.40948486328125
S011,S015,689,666,0.08652335133700095,186.1535186767578
S011,S015,688,666,0.08836120982110512,203.66024780273438
S011,S015,688,665,0.09645924495140382,206.7411346435547
S011,S015,687,665,0.10420552484918483,205.02392578125
S011,S015,687,664,0.10639513856580668,215.47140502929688
S011,S015,687,663,0.11633103218020954,222.0531768798828
S011,S015,686,663,0.12004983987726453,205.43878173828125
S011,S015,686,662,0.1262669257946124,208.12440490722656
S011,S015,685,662,0.13589415490534423,203.15191650390625
S011,S015,685,661,0.13620281940901527,225.59906005859375
S011,S015,685,660,0.14613871302341813,235.58673095703125
S011,S015,684,660,0.15173846993342394,228.23385620117188
S011,S015,684,659,0.156074606637821,224.8447723388672
S011,S015,684,658,0.16601050025222386,228.6391143798828
S011,S015,683,658,0.16758278496150367,215.2402801513672
S011,S015,683,657,0.17594639386662672,223.6057891845703
S011,S015,682,657,0.18342709998958337,200.1546630859375
S011,S015,682,656,0.18588228748102956,215.40415954589844
S011,S015,682,655,0.19581818109543242,218.72854614257812
S011,S015,681,655,0.19927141501766307,206.48214721679688
S011,S015,681,654,0.20575407470983528,212.14089965820312
S011,S015,680,654,0.21511573004574278,221.968994140625
S011,S015,680,653,0.21568996832423815,224.4753875732422
S011,S015,680,652,0.225625861938641,233.57652282714844
S011,S015,679,652,0.23096004507382248,223.07130432128906
S011,S015,679,651,0.23556175555304387,224.0843505859375
S011,S015,679,650,0.24549764916744674,227.26844787597656
S011,S015,678,650,0.24680436010190218,241.1222381591797
S011,S015,678,649,0.2554335427818496,249.58294677734375
S011,S015,677,649,0.2626486751299819,264.5899658203125
S011,S015,677,648,0.2653694363962525,270.1051025390625
S011,S015,677,647,0.2753053300106553,276.3523864746094
S011,S015,676,647,0.2784929901580616,298.2381591796875
S011,S015,676,646,0.28524122362505816,299.73883056640625
S011,S015,675,646,0.2943373051861413,319.0850524902344
S011,S015,675,645,0.29517711723946105,322.0988464355469
S011,S015,675,644,0.3051130108538639,316.5717468261719
S011,S015,674,644,0.310181620214221,327.4327697753906
S011,S015,674,643,0.3150489044682668,322.6109313964844
S011,S015,674,642,0.3249847980826696,315.40228271484375
S011,S015,673,642,0.3260259352423007,328.5757751464844
S011,S015,673,641,0.3349206916970725,323.12615966796875
S011,S015,672,641,0.3418702502703804,338.5857238769531
S011,S015,672,640,0.34485658531147534,338.6651916503906
S011,S015,672,639,0.35479247892587823,334.0304260253906
S011,S015,671,639,0.35771456529846013,349.6738586425781
S011,S015,671,638,0.36472837254028107,345.9924011230469
S011,S015,670,638,0.37355888032653983,358.5907287597656
S011,S015,670,637,0.37466426615468396,361.83355712890625
S011,S015,670,636,0.3846001597690868,365.9087219238281
S011,S015,669,636,0.38940319535461954,374.9187316894531
S011,S015,669,635,0.3945360533834897,382.8733825683594
S011,S015,669,634,0.4044719469978925,390.2103576660156
S011,S015,668,634,0.40524751038269924,381.125244140625
S011,S015,668,633,0.4144078406122954,391.38360595703125
S011,S015,667,633,0.42109182541077894,386.37103271484375
S011,S015,667,632,0.42434373422669824,404.1972961425781
S011,S015,667,631,0.43427962784110113,415.2632141113281
S011,S015,666,631,0.43693614043885864,421.037353515625
S011,S015,666,630,0.44421552145550397,429.2407531738281
S011,S015,665,630,0.45278045546693835,438.24176025390625
S011,S015,665,629,0.45415141506990686,442.4544372558594
S011,S015,665,628,0.4640873086843097,450.26300048828125
S011,S015,664,628,0.46862477049501805,442.0352478027344
S011,S015,664,627,0.47402320229871253,448.3529968261719
S011,S015,664,626,0.4839590959131154,450.0736083984375
S011,S015,663,626,0.48446908552309775,440.8878479003906
S011,S015,663,625,0.49389498952751826,452.47491455078125
S011,S015,662,625,0.5003134005511775,446.88763427734375
S011,S015,662,624,0.5038308831419211,448.0611877441406
S011,S015,662,623,0.513766776756324,453.9276428222656
S011,S015,661,623,0.5161577155792572,440.0020446777344
S011,S015,661,622,0.5237026703707268,450.59417724609375
S011,S015,660,622,0.5320020306073369,442.6225280761719
S011,S015,660,621,0.5336385639851298,451.466064453125
S011,S015,660,620,0.5435744575995326,460.63494873046875
S011,S015,659,620,0.5478463456354166,445.9231872558594
S011,S015,659,619,0.5535103512139354,458.6759948730469
S011,S015,659,618,0.5634462448283383,474.78912353515625
S011,S015,658,618,0.5636906606634963,481.7176818847656
S011,S015,658,617,0.5733821384427412,499.0863952636719
S011,S015,657,617,0.579534975691576,513.95849609375
S011,S015,657,616,0.583318032057144,528.8679809570312
S011,S015,657,615,0.5932539256715469,538.0526123046875
S011,S015,656,615,0.5953792907196557,538.2222290039062
S011,S015,656,614,0.6031898192859497,535.346435546875
S011,S015,655,614,0.6112236057477354,525.2075805664062
S011,S015,655,613,0.6131257129003527,522.843017578125
S011,S015,655,612,0.6230616065147555,519.5210571289062
S011,S015,654,612,0.6270679207758151,505.7177734375
S011,S015,654,611,0.6329975001291583,500.9067077636719
S011,S015,653,611,0.6429122358038948,517.1844482421875
S011,S015,653,610,0.6429333937435612,507.5218505859375
S011,S015,653,609,0.652869287357964,506.4981689453125
S011,S015,652,609,0.6587565508319745,513.8753662109375
S011,S015,652,608,0.662805180972367,517.7694091796875
S011,S015,652,607,0.6727410745867698,504.8567199707031
S011,S015,651,607,0.6746008658600542,514.2914428710938
S011,S015,651,606,0.6826769682011726,515.69189453125
S011,S015,650,606,0.6904451808881339,530.09228515625
S011,S015,650,605,0.6926128618155755,522.7145385742188
S011,S015,650,604,0.7025487554299784,512.4743041992188
S011,S015,649,604,0.7062894959162136,532.6366577148438
S011,S015,649,603,0.7124846490443812,524.8666381835938
S011,S015,648,603,0.7221338109442933,538.7306518554688
S011,S015,648,602,0.7224205426587841,536.3480834960938
S011,S015,648,601,0.7323564362731869,534.23681640625
S011,S015,647,601,0.737978125972373,529.4448852539062
S011,S015,647,600,0.7422923298875899,519.7545776367188
S011,S015,647,599,0.7522282235019927,517.377685546875
S011,S015,646,599,0.7538224410004527,506.9912414550781
S011,S015,646,598,0.7621641171163955,504.5050354003906
S011,S015,645,598,0.7696667560285324,490.43017578125
S011,S015,645,597,0.7721000107307984,493.6334533691406
S011,S015,645,596,0.7820359043452013,497.0178527832031
S011,S015,644,596,0.7855110710566122,483.68829345703125
S011,S015,644,595,0.7919717979596042,486.971435546875
S011,S015,643,595,0.8013553860846919,470.7747497558594
S011,S015,643,594,0.801907691574007,472.7065734863281
S011,S015,643,593,0.8118435851884098,470.5128173828125
S011,S015,642,593,0.8171997011127716,462.088623046875
S011,S015,642,592,0.8217794788028128,454.0243225097656
S011,S015,642,591,0.8317153724172156,447.35516357421875
S011,S015,641,591,0.8330440161408513,443.4368896484375
S011,S015,641,590,0.8416512660316184,435.4986877441406
S011,S015,640,590,0.848888331168931,436.9632263183594
S011,S015,640,589,0.8515871596460213,421.7062072753906
S011,S015,640,588,0.8615230532604241,414.1273498535156
S011,S015,639,588,0.8647326461970107,403.22607421875
S011,S015,639,587,0.8714589468748271,403.01641845703125
S011,S015,638,587,0.8805769612250904,391.0372314453125
S011,S015,638,586,0.8813948404892299,390.254150390625
S011,S015,638,585,0.8913307341036327,387.4901123046875
S011,S015,637,585,0.8964212762531701,392.9575500488281
S011,S015,637,584,0.9012666277180356,391.5701599121094
S011,S015,637,583,0.9112025213324385,396.1282653808594
S011,S015,636,583,0.9122655912812498,410.7743225097656
S011,S015,636,582,0.9211384149468413,408.3376159667969
S011,S015,635,582,0.9281099063093295,409.810791015625
S011,S015,635,581,0.9310743085612442,404.4032897949219
S011,S015,635,580,0.941010202175647,408.7772216796875
S011,S015,634,580,0.9439542213374092,415.55322265625
S011,S015,634,579,0.95094609579005,425.686279296875
S011,S015,633,579,0.959798536365489,427.1504821777344
S011,S015,633,578,0.9608819894044528,431.6045837402344
S011,S015,633,577,0.9708178830188556,432.2781677246094
S011,S015,632,577,0.9756428513935687,432.6133117675781
S011,S015,632,576,0.9807537766332585,431.2510986328125
S011,S015,632,575,0.9906896702476614,432.57025146484375
S011,S015,631,575,0.9914871664216484,436.229248046875
S012,S013,613,901,0.0,253.31507873535156
S012,S013,614,901,0.006778139975855524,250.5758514404297
S012,S013,614,900,0.01863827952603093,256.27459716796875
S012,S013,615,900,0.018661274575644576,260.31024169921875
S012,S013,616,900,0.03054440917543363,261.2814636230469
S012,S013,616,899,0.0422753204710754,266.8930358886719
S012,S013,617,899,0.04242754377522268,279.92547607421875
S012,S013,618,899,0.05431067837501174,288.3965148925781
S012,S013,618,898,0.06591236141611986,290.82037353515625
S012,S013,619,898,0.06619381297480079,276.269775390625
